task_id,pickup,delivery,service_time,earliest_start,latest_finish,priority
T01,P9,SORT2,3,0,26,2
T02,P5,SORT2,3,3,42,3
T03,P5,SORT1,2,3,30,1
T04,P3,OUT2,2,6,37,2
T05,P2,SORT1,2,9,43,1
T06,P5,OUT1,3,9,49,2
T07,P6,SORT1,2,11,48,1
T08,P8,SORT1,3,13,38,2
T09,P2,OUT1,2,15,55,1
T10,P3,OUT1,2,18,57,2
T11,P8,SORT2,3,21,50,3
T12,P7,SORT1,2,23,58,1
T13,P4,SORT1,2,26,58,1
T14,P9,SORT2,3,28,66,1
T15,P4,SORT1,3,31,58,2
T16,P8,SORT2,3,31,68,1
T17,P3,SORT2,3,33,70,3
T18,P8,SORT2,2,33,62,2
T19,P4,SORT1,2,33,70,1
T20,P6,SORT2,2,35,63,2
T21,P1,SORT2,2,37,66,2
T22,P8,SORT2,3,39,69,2
T23,P7,SORT1,2,40,77,3
T24,P5,SORT2,3,43,78,3
