amr_id,assigned_amr,task_id,sequence_order,predecessor_task_id,start_node,pickup,delivery,service_time,earliest_start,latest_finish,priority,transition_path_uid,transition_path_id,transition_travel_time,transition_distance,transition_cost,transition_edge_sequence,loaded_path_uid,loaded_path_id,loaded_travel_time,loaded_distance,loaded_cost,loaded_edge_sequence,estimated_arrival_pickup,estimated_start_time,estimated_finish_time,estimated_delay,transition_status,loaded_path_status,assignment_method,notes
AMR1,AMR1,T01,1,,IN1,P1,SORT1,2,0,25,2,IN1__P1__path_1,path_1,4.0,4.0,6.0,e01->e05,P1__SORT1__path_1,path_1,7.0,6.2,12.5,e10->e15->e20,4.0,4.0,13.0,0.0,ok,ok,baseline_interface_stub,
AMR1,AMR1,T06,2,T01,SORT1,P2,SORT1,2,6,36,1,SORT1__P2__path_1,path_1,9.0,8.2,16.0,e20->e15->e10->e08,P2__SORT1__path_1,path_1,9.0,8.2,16.0,e08->e10->e15->e20,22.0,22.0,33.0,0.0,ok,ok,baseline_interface_stub,
AMR2,AMR2,T02,1,,IN2,P3,SORT2,2,0,28,2,IN2__P3__path_1,path_1,4.0,4.0,6.0,e02->e07,P3__SORT2__path_1,path_1,7.0,6.2,12.5,e12->e17->e23,4.0,4.0,13.0,0.0,ok,ok,baseline_interface_stub,
AMR2,AMR2,T08,2,T02,SORT2,P9,SORT2,2,10,45,3,SORT2__P9__path_1,path_1,3.0,2.2,4.0,e23,P9__SORT2__path_1,path_1,3.0,2.2,4.0,e23,16.0,16.0,21.0,0.0,ok,ok,baseline_interface_stub,
AMR2,AMR2,T10,3,T08,SORT2,P5,OUT1,3,14,50,2,SORT2__P5__path_1,path_1,7.0,6.2,13.0,e23->e17->e14,P5__OUT1__path_1,path_1,9.0,8.2,16.5,e13->e15->e20->e24,28.0,28.0,40.0,0.0,ok,ok,baseline_interface_stub,
AMR3,AMR3,T05,1,,CHG1,P6,OUT2,2,5,38,2,CHG1__P6__path_1,path_1,10.0,9.4,18.0,e26->e03->e04->e07->e12,P6__OUT2__path_1,path_1,7.0,6.2,11.0,e17->e23->e25,10.0,10.0,19.0,0.0,ok,ok,baseline_interface_stub,
AMR3,AMR3,T09,2,T05,OUT2,P4,SORT1,2,12,48,1,,,,,,,P4__SORT1__path_1,path_1,5.0,4.2,7.5,e15->e20,,,,,missing_path,ok,baseline_interface_stub,no path from OUT2 to P4
AMR3,AMR3,T11,3,T09,SORT1,P3,OUT2,2,16,52,2,SORT1__P3__path_1,path_1,9.0,8.2,16.0,e21->e19->e17->e12,P3__OUT2__path_1,path_1,9.0,8.2,16.0,e12->e17->e23->e25,28.0,28.0,39.0,0.0,ok,ok,baseline_interface_stub,
AMR4,AMR4,T03,1,,CHG2,P5,SORT1,3,2,32,1,CHG2__P5__path_1,path_1,6.0,5.4,12.0,e27->e15->e13,P5__SORT1__path_1,path_1,7.0,6.2,13.0,e13->e15->e20,6.0,6.0,16.0,0.0,ok,ok,baseline_interface_stub,
AMR4,AMR4,T04,2,T03,SORT1,P8,SORT2,2,4,35,3,SORT1__P8__path_1,path_1,3.0,2.2,4.0,e21,P8__SORT2__path_1,path_1,3.0,2.2,4.0,e22,19.0,19.0,24.0,0.0,ok,ok,baseline_interface_stub,
AMR4,AMR4,T07,3,T04,SORT2,P7,OUT1,3,8,42,2,SORT2__P7__path_1,path_1,5.0,4.2,7.5,e22->e18,P7__OUT1__path_1,path_1,5.0,4.2,7.5,e20->e24,29.0,29.0,37.0,0.0,ok,ok,baseline_interface_stub,
AMR4,AMR4,T12,4,T07,OUT1,P8,OUT1,2,18,55,3,,,,,,,P8__OUT1__path_1,path_1,5.0,4.2,7.5,e21->e24,,,,,missing_path,ok,baseline_interface_stub,no path from OUT1 to P8
