amr_id,task_id,sequence_order,segment_type,path_uid,step_index,edge_id,from_node_on_edge,to_node_on_edge,start_time,end_time,duration,capacity,edge_type,lockable
AMR1,T01,1,transition,IN1__P1__path_1,0,e01,IN1,J1,0.0,2.0,2.0,2,normal,0
AMR1,T01,1,transition,IN1__P1__path_1,1,e05,J1,P1,2.0,4.0,2.0,2,normal,0
AMR1,T01,1,loaded,P1__SORT1__path_1,0,e10,P1,P4,6.0,8.0,2.0,1,narrow,0
AMR1,T01,1,loaded,P1__SORT1__path_1,1,e15,P4,P7,8.0,10.0,2.0,2,normal,0
AMR1,T01,1,loaded,P1__SORT1__path_1,2,e20,P7,SORT1,10.0,13.0,3.0,2,normal,0
AMR1,T06,2,transition,SORT1__P2__path_1,0,e20,SORT1,P7,13.0,16.0,3.0,2,normal,0
AMR1,T06,2,transition,SORT1__P2__path_1,1,e15,P7,P4,16.0,18.0,2.0,2,normal,0
AMR1,T06,2,transition,SORT1__P2__path_1,2,e10,P4,P1,18.0,20.0,2.0,1,narrow,0
AMR1,T06,2,transition,SORT1__P2__path_1,3,e08,P1,P2,20.0,22.0,2.0,2,normal,0
AMR1,T06,2,loaded,P2__SORT1__path_1,0,e08,P2,P1,24.0,26.0,2.0,2,normal,0
AMR1,T06,2,loaded,P2__SORT1__path_1,1,e10,P1,P4,26.0,28.0,2.0,1,narrow,0
AMR1,T06,2,loaded,P2__SORT1__path_1,2,e15,P4,P7,28.0,30.0,2.0,2,normal,0
AMR1,T06,2,loaded,P2__SORT1__path_1,3,e20,P7,SORT1,30.0,33.0,3.0,2,normal,0
AMR2,T02,1,transition,IN2__P3__path_1,0,e02,IN2,J3,0.0,2.0,2.0,2,normal,0
AMR2,T02,1,transition,IN2__P3__path_1,1,e07,J3,P3,2.0,4.0,2.0,2,normal,0
AMR2,T02,1,loaded,P3__SORT2__path_1,0,e12,P3,P6,6.0,8.0,2.0,1,narrow,0
AMR2,T02,1,loaded,P3__SORT2__path_1,1,e17,P6,P9,8.0,10.0,2.0,2,normal,0
AMR2,T02,1,loaded,P3__SORT2__path_1,2,e23,P9,SORT2,10.0,13.0,3.0,2,normal,0
AMR2,T08,2,transition,SORT2__P9__path_1,0,e23,SORT2,P9,13.0,16.0,3.0,2,normal,0
