amr_id,task_id,sequence_order,segment_type,path_uid,node_index,node_id,time
AMR1,T01,1,transition,IN1__P1__path_1,0,IN1,0.0
AMR1,T01,1,transition,IN1__P1__path_1,1,J1,2.0
AMR1,T01,1,transition,IN1__P1__path_1,2,P1,4.0
AMR1,T01,1,loaded,P1__SORT1__path_1,0,P1,6.0
AMR1,T01,1,loaded,P1__SORT1__path_1,1,P4,8.0
AMR1,T01,1,loaded,P1__SORT1__path_1,2,P7,10.0
AMR1,T01,1,loaded,P1__SORT1__path_1,3,SORT1,13.0
AMR1,T06,2,transition,SORT1__P2__path_1,0,SORT1,13.0
AMR1,T06,2,transition,SORT1__P2__path_1,1,P7,16.0
AMR1,T06,2,transition,SORT1__P2__path_1,2,P4,18.0
AMR1,T06,2,transition,SORT1__P2__path_1,3,P1,20.0
AMR1,T06,2,transition,SORT1__P2__path_1,4,P2,22.0
AMR1,T06,2,loaded,P2__SORT1__path_1,0,P2,24.0
AMR1,T06,2,loaded,P2__SORT1__path_1,1,P1,26.0
AMR1,T06,2,loaded,P2__SORT1__path_1,2,P4,28.0
AMR1,T06,2,loaded,P2__SORT1__path_1,3,P7,30.0
AMR1,T06,2,loaded,P2__SORT1__path_1,4,SORT1,33.0
AMR2,T02,1,transition,IN2__P3__path_1,0,IN2,0.0
AMR2,T02,1,transition,IN2__P3__path_1,1,J3,2.0
AMR2,T02,1,transition,IN2__P3__path_1,2,P3,4.0
AMR2,T02,1,loaded,P3__SORT2__path_1,0,P3,6.0
AMR2,T02,1,loaded,P3__SORT2__path_1,1,P6,8.0
AMR2,T02,1,loaded,P3__SORT2__path_1,2,P9,10.0
AMR2,T02,1,loaded,P3__SORT2__path_1,3,SORT2,13.0
AMR2,T08,2,transition,SORT2__P9__path_1,0,SORT2,13.0
AMR2,T08,2,transition,SORT2__P9__path_1,1,P9,16.0
AMR2,T08,2,loaded,P9__SORT2__path_1,0,P9,18.0
AMR2,T08,2,loaded,P9__SORT2__path_1,1,SORT2,21.0
AMR2,T10,3,transition,SORT2__P5__path_1,0,SORT2,21.0
AMR2,T10,3,transition,SORT2__P5__path_1,1,P9,24.0
AMR2,T10,3,transition,SORT2__P5__path_1,2,P6,26.0
AMR2,T10,3,transition,SORT2__P5__path_1,3,P5,28.0
AMR2,T10,3,loaded,P5__OUT1__path_1,0,P5,31.0
AMR2,T10,3,loaded,P5__OUT1__path_1,1,P4,33.0
AMR2,T10,3,loaded,P5__OUT1__path_1,2,P7,35.0
AMR2,T10,3,loaded,P5__OUT1__path_1,3,SORT1,38.0
AMR2,T10,3,loaded,P5__OUT1__path_1,4,OUT1,40.0
AMR3,T05,1,transition,CHG1__P6__path_1,0,CHG1,0.0
AMR3,T05,1,transition,CHG1__P6__path_1,1,J1,2.0
AMR3,T05,1,transition,CHG1__P6__path_1,2,J2,4.0
AMR3,T05,1,transition,CHG1__P6__path_1,3,J3,6.0
AMR3,T05,1,transition,CHG1__P6__path_1,4,P3,8.0
AMR3,T05,1,transition,CHG1__P6__path_1,5,P6,10.0
AMR3,T05,1,loaded,P6__OUT2__path_1,0,P6,12.0
AMR3,T05,1,loaded,P6__OUT2__path_1,1,P9,14.0
AMR3,T05,1,loaded,P6__OUT2__path_1,2,SORT2,17.0
AMR3,T05,1,loaded,P6__OUT2__path_1,3,OUT2,19.0
AMR3,T11,3,transition,SORT1__P3__path_1,0,SORT1,19.0
AMR3,T11,3,transition,SORT1__P3__path_1,1,P8,22.0
AMR3,T11,3,transition,SORT1__P3__path_1,2,P9,24.0
AMR3,T11,3,transition,SORT1__P3__path_1,3,P6,26.0
AMR3,T11,3,transition,SORT1__P3__path_1,4,P3,28.0
AMR3,T11,3,loaded,P3__OUT2__path_1,0,P3,30.0
AMR3,T11,3,loaded,P3__OUT2__path_1,1,P6,32.0
AMR3,T11,3,loaded,P3__OUT2__path_1,2,P9,34.0
AMR3,T11,3,loaded,P3__OUT2__path_1,3,SORT2,37.0
AMR3,T11,3,loaded,P3__OUT2__path_1,4,OUT2,39.0
AMR4,T03,1,transition,CHG2__P5__path_1,0,CHG2,0.0
AMR4,T03,1,transition,CHG2__P5__path_1,1,P7,2.0
AMR4,T03,1,transition,CHG2__P5__path_1,2,P4,4.0
AMR4,T03,1,transition,CHG2__P5__path_1,3,P5,6.0
AMR4,T03,1,loaded,P5__SORT1__path_1,0,P5,9.0
AMR4,T03,1,loaded,P5__SORT1__path_1,1,P4,11.0
AMR4,T03,1,loaded,P5__SORT1__path_1,2,P7,13.0
AMR4,T03,1,loaded,P5__SORT1__path_1,3,SORT1,16.0
AMR4,T04,2,transition,SORT1__P8__path_1,0,SORT1,16.0
AMR4,T04,2,transition,SORT1__P8__path_1,1,P8,19.0
AMR4,T04,2,loaded,P8__SORT2__path_1,0,P8,21.0
AMR4,T04,2,loaded,P8__SORT2__path_1,1,SORT2,24.0
AMR4,T07,3,transition,SORT2__P7__path_1,0,SORT2,24.0
AMR4,T07,3,transition,SORT2__P7__path_1,1,P8,27.0
AMR4,T07,3,transition,SORT2__P7__path_1,2,P7,29.0
AMR4,T07,3,loaded,P7__OUT1__path_1,0,P7,32.0
AMR4,T07,3,loaded,P7__OUT1__path_1,1,SORT1,35.0
AMR4,T07,3,loaded,P7__OUT1__path_1,2,OUT1,37.0
