from_node,IN1,IN2,P1,P2,P3,P4,P5,P6,P7,P8,P9,SORT1,SORT2,OUT1,OUT2,CHG1,CHG2
IN1,0.0,4.0,3.12,6.437,5.648,5.946,6.47,9.994,7.828,11.11,7.427,10.994,11.352,12.523,12.998,1.414,9.085
IN2,4.0,0.0,5.112,5.892,3.728,6.87,5.692,8.302,9.3,10.224,6.819,10.564,10.458,12.511,12.101,5.099,11.562
P1,3.12,5.112,0.0,4.776,4.43,3.701,5.175,8.634,5.584,8.865,6.074,8.749,10.056,10.278,11.575,2.323,6.84
P2,6.437,5.892,4.776,0.0,3.198,1.215,2.619,5.968,4.675,7.362,3.479,7.701,7.5,9.649,9.146,5.878,6.267
P3,5.648,3.728,4.43,3.198,0.0,4.262,3.275,5.628,7.133,7.785,4.419,8.124,8.058,10.071,9.701,5.913,9.381
P4,5.946,6.87,3.701,1.215,4.262,0.0,3.693,7.043,3.953,7.234,4.554,7.119,8.575,8.647,9.944,4.802,5.199
P5,6.47,5.692,5.175,2.619,3.275,3.693,0.0,3.782,4.552,4.512,1.113,4.852,4.74,6.799,6.381,6.577,6.814
P6,9.994,8.302,8.634,5.968,5.628,7.043,3.782,0.0,7.438,3.688,2.779,4.045,2.813,5.404,4.308,10.037,6.066
P7,7.828,9.3,5.584,4.675,7.133,3.953,4.552,7.438,0.0,4.308,4.498,4.192,6.223,5.721,7.018,6.7,2.252
P8,11.11,10.224,8.865,7.362,7.785,7.234,4.512,3.688,4.308,0.0,4.987,1.018,2.362,3.299,3.672,9.985,2.367
P9,7.427,6.819,6.074,3.479,4.419,4.554,1.113,2.779,4.498,4.987,0.0,5.326,5.433,7.363,7.078,7.477,6.76
SORT1,10.994,10.564,8.749,7.701,8.124,7.119,4.852,4.045,4.192,1.018,5.326,0.0,1.995,2.286,2.93,9.869,2.277
SORT2,11.352,10.458,10.056,7.5,8.058,8.575,4.74,2.813,6.223,2.362,5.433,1.995,0.0,2.625,1.641,11.459,4.272
OUT1,12.523,12.511,10.278,9.649,10.071,8.647,6.799,5.404,5.721,3.299,7.363,2.286,2.625,0.0,2.0,11.398,3.606
OUT2,12.998,12.101,11.575,9.146,9.701,9.944,6.381,4.308,7.018,3.672,7.078,2.93,1.641,2.0,0.0,12.694,5.0
CHG1,1.414,5.099,2.323,5.878,5.913,4.802,6.577,10.037,6.7,9.985,7.477,9.869,11.459,11.398,12.694,0.0,8.0
CHG2,9.085,11.562,6.84,6.267,9.381,5.199,6.814,6.066,2.252,2.367,6.76,2.277,4.272,3.606,5.0,8.0,0.0
