path_uid,from_node,to_node,path_id,node_index,node_id,offset_time
IN1__IN2__path_1,IN1,IN2,path_1,0,IN1,0.0
IN1__IN2__path_1,IN1,IN2,path_1,1,IN2,4.0
IN1__P1__path_1,IN1,P1,path_1,0,IN1,0.0
IN1__P1__path_1,IN1,P1,path_1,1,P1,3.12
IN1__P2__path_1,IN1,P2,path_1,0,IN1,0.0
IN1__P2__path_1,IN1,P2,path_1,1,P2,5.419
IN1__P3__path_1,IN1,P3,path_1,0,IN1,0.0
IN1__P3__path_1,IN1,P3,path_1,1,P3,5.648
IN1__P4__path_1,IN1,P4,path_1,0,IN1,0.0
IN1__P4__path_1,IN1,P4,path_1,1,P4,5.452
IN1__P5__path_1,IN1,P5,path_1,0,IN1,0.0
IN1__P5__path_1,IN1,P5,path_1,1,P5,6.423
IN1__P6__path_1,IN1,P6,path_1,0,IN1,0.0
IN1__P6__path_1,IN1,P6,path_1,1,P6,9.466
IN1__P7__path_1,IN1,P7,path_1,0,IN1,0.0
IN1__P7__path_1,IN1,P7,path_1,1,P7,7.517
IN1__P8__path_1,IN1,P8,path_1,0,IN1,0.0
IN1__P8__path_1,IN1,P8,path_1,1,P8,10.283
IN1__P9__path_1,IN1,P9,path_1,0,IN1,0.0
IN1__P9__path_1,IN1,P9,path_1,1,P9,7.406
IN1__SORT1__path_1,IN1,SORT1,path_1,0,IN1,0.0
IN1__SORT1__path_1,IN1,SORT1,path_1,1,SORT1,10.464
IN1__SORT2__path_1,IN1,SORT2,path_1,0,IN1,0.0
IN1__SORT2__path_1,IN1,SORT2,path_1,1,SORT2,11.105
IN1__OUT1__path_1,IN1,OUT1,path_1,0,IN1,0.0
IN1__OUT1__path_1,IN1,OUT1,path_1,1,OUT1,12.271
IN1__OUT2__path_1,IN1,OUT2,path_1,0,IN1,0.0
IN1__OUT2__path_1,IN1,OUT2,path_1,1,OUT2,12.742
IN1__CHG1__path_1,IN1,CHG1,path_1,0,IN1,0.0
IN1__CHG1__path_1,IN1,CHG1,path_1,1,CHG1,1.414
IN1__CHG2__path_1,IN1,CHG2,path_1,0,IN1,0.0
IN1__CHG2__path_1,IN1,CHG2,path_1,1,CHG2,9.058
IN2__IN1__path_1,IN2,IN1,path_1,0,IN2,0.0
IN2__IN1__path_1,IN2,IN1,path_1,1,IN1,4.0
IN2__P1__path_1,IN2,P1,path_1,0,IN2,0.0
IN2__P1__path_1,IN2,P1,path_1,1,P1,5.112
IN2__P2__path_1,IN2,P2,path_1,0,IN2,0.0
IN2__P2__path_1,IN2,P2,path_1,1,P2,5.366
IN2__P3__path_1,IN2,P3,path_1,0,IN2,0.0
IN2__P3__path_1,IN2,P3,path_1,1,P3,3.728
IN2__P4__path_1,IN2,P4,path_1,0,IN2,0.0
IN2__P4__path_1,IN2,P4,path_1,1,P4,6.526
IN2__P5__path_1,IN2,P5,path_1,0,IN2,0.0
IN2__P5__path_1,IN2,P5,path_1,1,P5,5.692
IN2__P6__path_1,IN2,P6,path_1,0,IN2,0.0
IN2__P6__path_1,IN2,P6,path_1,1,P6,8.115
IN2__P7__path_1,IN2,P7,path_1,0,IN2,0.0
IN2__P7__path_1,IN2,P7,path_1,1,P7,8.787
IN2__P8__path_1,IN2,P8,path_1,0,IN2,0.0
IN2__P8__path_1,IN2,P8,path_1,1,P8,9.601
IN2__P9__path_1,IN2,P9,path_1,0,IN2,0.0
IN2__P9__path_1,IN2,P9,path_1,1,P9,6.439
IN2__SORT1__path_1,IN2,SORT1,path_1,0,IN2,0.0
IN2__SORT1__path_1,IN2,SORT1,path_1,1,SORT1,10.32
IN2__SORT2__path_1,IN2,SORT2,path_1,0,IN2,0.0
IN2__SORT2__path_1,IN2,SORT2,path_1,1,SORT2,10.413
IN2__OUT1__path_1,IN2,OUT1,path_1,0,IN2,0.0
IN2__OUT1__path_1,IN2,OUT1,path_1,1,OUT1,12.419
IN2__OUT2__path_1,IN2,OUT2,path_1,0,IN2,0.0
IN2__OUT2__path_1,IN2,OUT2,path_1,1,OUT2,12.053
IN2__CHG1__path_1,IN2,CHG1,path_1,0,IN2,0.0
IN2__CHG1__path_1,IN2,CHG1,path_1,1,CHG1,5.099
IN2__CHG2__path_1,IN2,CHG2,path_1,0,IN2,0.0
IN2__CHG2__path_1,IN2,CHG2,path_1,1,CHG2,10.737
P1__IN1__path_1,P1,IN1,path_1,0,P1,0.0
P1__IN1__path_1,P1,IN1,path_1,1,IN1,3.12
P1__IN2__path_1,P1,IN2,path_1,0,P1,0.0
P1__IN2__path_1,P1,IN2,path_1,1,IN2,5.112
P1__P2__path_1,P1,P2,path_1,0,P1,0.0
P1__P2__path_1,P1,P2,path_1,1,P2,3.345
P1__P3__path_1,P1,P3,path_1,0,P1,0.0
P1__P3__path_1,P1,P3,path_1,1,P3,4.354
P1__P4__path_1,P1,P4,path_1,0,P1,0.0
P1__P4__path_1,P1,P4,path_1,1,P4,2.622
P1__P5__path_1,P1,P5,path_1,0,P1,0.0
P1__P5__path_1,P1,P5,path_1,1,P5,4.639
P1__P6__path_1,P1,P6,path_1,0,P1,0.0
P1__P6__path_1,P1,P6,path_1,1,P6,7.688
P1__P7__path_1,P1,P7,path_1,0,P1,0.0
P1__P7__path_1,P1,P7,path_1,1,P7,4.687
P1__P8__path_1,P1,P8,path_1,0,P1,0.0
P1__P8__path_1,P1,P8,path_1,1,P8,7.453
P1__P9__path_1,P1,P9,path_1,0,P1,0.0
P1__P9__path_1,P1,P9,path_1,1,P9,5.628
P1__SORT1__path_1,P1,SORT1,path_1,0,P1,0.0
P1__SORT1__path_1,P1,SORT1,path_1,1,SORT1,7.634
P1__SORT2__path_1,P1,SORT2,path_1,0,P1,0.0
