from_node,IN1,IN2,P1,P2,P3,P4,P5,P6,P7,P8,P9,SORT1,SORT2,OUT1,OUT2,CHG1,CHG2
IN1,0.0,3.9,3.141,5.687,5.733,5.738,6.843,9.94,7.797,10.673,7.857,10.887,11.543,12.87,13.201,1.414,9.414
IN2,3.9,0.0,5.284,5.728,3.824,7.018,5.973,8.48,9.443,10.128,6.738,10.86,10.673,13.243,12.414,5.314,11.733
P1,3.141,5.284,0.0,3.6,4.549,2.89,4.956,8.053,4.949,7.824,5.97,8.038,9.656,10.021,10.85,2.473,6.566
P2,5.687,5.728,3.6,0.0,3.149,1.29,2.531,5.687,4.314,6.297,3.546,7.028,7.173,9.411,8.831,5.366,6.238
P3,5.733,3.824,4.549,3.149,0.0,4.438,2.924,5.066,6.57,7.08,3.573,7.811,7.624,10.194,9.366,6.318,8.86
P4,5.738,7.018,2.89,1.29,4.438,0.0,3.324,6.48,3.249,6.124,4.338,6.338,7.59,8.321,9.15,4.656,4.949
P5,6.843,5.973,4.956,2.531,2.924,3.324,0.0,3.449,4.114,4.156,1.249,4.887,4.7,7.27,6.441,6.725,6.404
P6,9.94,8.48,8.053,5.687,5.066,6.48,3.449,0.0,6.48,3.59,2.2,4.204,3.021,5.591,4.763,9.823,6.014
P7,7.797,9.443,4.949,4.314,6.57,3.249,4.114,6.48,0.0,3.383,4.573,3.597,5.746,5.58,6.408,6.714,2.29
P8,10.673,10.128,7.824,6.297,7.08,6.124,4.156,3.59,3.383,0.0,4.438,1.083,2.363,3.466,3.963,9.59,2.424
P9,7.857,6.738,5.97,3.546,3.573,4.338,1.249,2.2,4.573,4.438,0.0,5.17,4.983,7.553,6.724,7.74,6.863
SORT1,10.887,10.86,8.038,7.028,7.811,6.338,4.887,4.204,3.597,1.083,5.17,0.0,2.149,2.383,3.046,9.804,2.39
SORT2,11.543,10.673,9.656,7.173,7.624,7.59,4.7,3.021,5.746,2.363,4.983,2.149,0.0,2.804,1.741,11.425,4.538
OUT1,12.87,13.243,10.021,9.411,10.194,8.321,7.27,5.591,5.58,3.466,7.553,2.383,2.804,0.0,2.0,11.787,3.787
OUT2,13.201,12.414,10.85,8.831,9.366,9.15,6.441,4.763,6.408,3.963,6.724,3.046,1.741,2.0,0.0,12.615,5.143
CHG1,1.414,5.314,2.473,5.366,6.318,4.656,6.725,9.823,6.714,9.59,7.74,9.804,11.425,11.787,12.615,0.0,8.0
CHG2,9.414,11.733,6.566,6.238,8.86,4.949,6.404,6.014,2.29,2.424,6.863,2.39,4.538,3.787,5.143,8.0,0.0
