from_node,IN1,IN2,P1,P2,P3,P4,P5,P6,P7,P8,P9,SORT1,SORT2,OUT1,OUT2,CHG1,CHG2
IN1,0.0,3.9,2.941,6.17,5.65,6.097,6.843,10.491,7.98,11.114,7.891,11.287,11.543,13.036,13.284,1.414,9.414
IN2,3.9,0.0,5.201,6.046,3.624,7.211,5.973,9.538,10.163,10.404,6.938,10.977,10.673,13.243,12.414,5.314,12.025
P1,2.941,5.201,0.0,4.341,4.549,3.507,5.214,8.863,5.39,8.524,6.263,8.697,9.914,10.446,11.45,2.273,6.824
P2,6.17,6.046,4.341,0.0,3.314,1.166,2.683,6.331,4.873,7.114,3.731,7.687,7.383,9.928,9.124,5.683,6.39
P3,5.65,3.624,4.549,3.314,0.0,4.48,3.241,6.807,7.431,7.673,4.207,8.246,7.941,10.511,9.683,6.236,9.704
P4,6.097,7.211,3.507,1.166,4.48,0.0,3.683,7.331,3.707,6.841,4.731,7.014,8.383,8.763,9.767,4.849,5.224
P5,6.843,5.973,5.214,2.683,3.241,3.683,0.0,3.766,4.19,4.431,1.166,5.004,4.7,7.27,6.441,6.901,6.756
P6,10.491,9.538,8.863,6.331,6.807,7.331,3.766,0.0,5.531,3.949,2.6,4.521,3.104,5.674,4.846,10.55,6.331
P7,7.98,10.163,5.39,4.873,7.431,3.707,4.19,5.531,0.0,4.1,4.79,4.273,5.631,6.021,7.025,6.731,2.566
P8,11.114,10.404,8.524,7.114,7.673,6.841,4.431,3.949,4.1,0.0,5.031,0.983,2.321,3.366,3.863,9.866,2.383
P9,7.891,6.938,6.263,3.731,4.207,4.731,1.166,2.6,4.79,5.031,0.0,5.604,5.3,7.87,7.041,7.95,7.356
SORT1,11.287,10.977,8.697,7.687,8.246,7.014,5.004,4.521,4.273,0.983,5.604,0.0,2.149,2.383,3.046,10.038,2.39
SORT2,11.543,10.673,9.914,7.383,7.941,8.383,4.7,3.104,5.631,2.321,5.3,2.149,0.0,2.804,1.741,11.601,4.538
OUT1,13.036,13.243,10.446,9.928,10.511,8.763,7.27,5.674,6.021,3.366,7.87,2.383,2.804,0.0,2.0,11.787,3.787
OUT2,13.284,12.414,11.45,9.124,9.683,9.767,6.441,4.846,7.025,3.863,7.041,3.046,1.741,2.0,0.0,12.791,5.143
CHG1,1.414,5.314,2.273,5.683,6.236,4.849,6.901,10.55,6.731,9.866,7.95,10.038,11.601,11.787,12.791,0.0,8.0
CHG2,9.414,12.025,6.824,6.39,9.704,5.224,6.756,6.331,2.566,2.383,7.356,2.39,4.538,3.787,5.143,8.0,0.0
