path_uid,from_node,to_node,path_id,cell_index,row,col,x,y,is_dynamic
IN1__IN2__path_1,IN1,IN2,path_1,0,18,8,0.05,1.05,0
IN1__IN2__path_1,IN1,IN2,path_1,1,19,8,0.05,1.15,0
IN1__IN2__path_1,IN1,IN2,path_1,2,20,8,0.05,1.25,0
IN1__IN2__path_1,IN1,IN2,path_1,3,21,8,0.05,1.35,0
IN1__IN2__path_1,IN1,IN2,path_1,4,22,8,0.05,1.45,0
IN1__IN2__path_1,IN1,IN2,path_1,5,23,8,0.05,1.55,0
IN1__IN2__path_1,IN1,IN2,path_1,6,24,8,0.05,1.65,0
IN1__IN2__path_1,IN1,IN2,path_1,7,25,8,0.05,1.75,0
IN1__IN2__path_1,IN1,IN2,path_1,8,26,8,0.05,1.85,0
IN1__IN2__path_1,IN1,IN2,path_1,9,27,8,0.05,1.95,0
IN1__IN2__path_1,IN1,IN2,path_1,10,28,8,0.05,2.05,0
IN1__IN2__path_1,IN1,IN2,path_1,11,29,8,0.05,2.15,0
IN1__IN2__path_1,IN1,IN2,path_1,12,30,8,0.05,2.25,0
IN1__IN2__path_1,IN1,IN2,path_1,13,31,8,0.05,2.35,0
IN1__IN2__path_1,IN1,IN2,path_1,14,32,8,0.05,2.45,0
IN1__IN2__path_1,IN1,IN2,path_1,15,33,8,0.05,2.55,0
IN1__IN2__path_1,IN1,IN2,path_1,16,34,8,0.05,2.65,0
IN1__IN2__path_1,IN1,IN2,path_1,17,35,8,0.05,2.75,0
IN1__IN2__path_1,IN1,IN2,path_1,18,36,8,0.05,2.85,0
IN1__IN2__path_1,IN1,IN2,path_1,19,37,8,0.05,2.95,0
IN1__IN2__path_1,IN1,IN2,path_1,20,38,8,0.05,3.05,0
IN1__IN2__path_1,IN1,IN2,path_1,21,39,8,0.05,3.15,0
IN1__IN2__path_1,IN1,IN2,path_1,22,40,8,0.05,3.25,0
IN1__IN2__path_1,IN1,IN2,path_1,23,41,8,0.05,3.35,0
IN1__IN2__path_1,IN1,IN2,path_1,24,42,8,0.05,3.45,0
IN1__IN2__path_1,IN1,IN2,path_1,25,43,8,0.05,3.55,0
IN1__IN2__path_1,IN1,IN2,path_1,26,44,8,0.05,3.65,0
IN1__IN2__path_1,IN1,IN2,path_1,27,45,8,0.05,3.75,0
IN1__IN2__path_1,IN1,IN2,path_1,28,46,8,0.05,3.85,0
IN1__IN2__path_1,IN1,IN2,path_1,29,47,8,0.05,3.95,0
IN1__IN2__path_1,IN1,IN2,path_1,30,48,8,0.05,4.05,0
IN1__IN2__path_1,IN1,IN2,path_1,31,49,8,0.05,4.15,0
IN1__IN2__path_1,IN1,IN2,path_1,32,50,8,0.05,4.25,0
IN1__IN2__path_1,IN1,IN2,path_1,33,51,8,0.05,4.35,0
IN1__IN2__path_1,IN1,IN2,path_1,34,52,8,0.05,4.45,0
IN1__IN2__path_1,IN1,IN2,path_1,35,53,8,0.05,4.55,0
IN1__IN2__path_1,IN1,IN2,path_1,36,54,8,0.05,4.65,0
IN1__IN2__path_1,IN1,IN2,path_1,37,55,8,0.05,4.75,0
IN1__IN2__path_1,IN1,IN2,path_1,38,56,8,0.05,4.85,0
IN1__IN2__path_1,IN1,IN2,path_1,39,57,8,0.05,4.95,0
IN1__P1__path_1,IN1,P1,path_1,0,18,8,0.05,1.05,0
IN1__P1__path_1,IN1,P1,path_1,1,18,9,0.15,1.05,0
IN1__P1__path_1,IN1,P1,path_1,2,18,10,0.25,1.05,0
IN1__P1__path_1,IN1,P1,path_1,3,18,11,0.35,1.05,0
IN1__P1__path_1,IN1,P1,path_1,4,18,12,0.45,1.05,0
IN1__P1__path_1,IN1,P1,path_1,5,18,13,0.55,1.05,0
IN1__P1__path_1,IN1,P1,path_1,6,18,14,0.65,1.05,0
IN1__P1__path_1,IN1,P1,path_1,7,18,15,0.75,1.05,0
IN1__P1__path_1,IN1,P1,path_1,8,18,16,0.85,1.05,0
IN1__P1__path_1,IN1,P1,path_1,9,18,17,0.95,1.05,0
IN1__P1__path_1,IN1,P1,path_1,10,18,18,1.05,1.05,0
IN1__P1__path_1,IN1,P1,path_1,11,18,19,1.15,1.05,0
IN1__P1__path_1,IN1,P1,path_1,12,18,20,1.25,1.05,0
IN1__P1__path_1,IN1,P1,path_1,13,18,21,1.35,1.05,0
IN1__P1__path_1,IN1,P1,path_1,14,18,22,1.45,1.05,0
IN1__P1__path_1,IN1,P1,path_1,15,18,23,1.55,1.05,0
IN1__P1__path_1,IN1,P1,path_1,16,18,24,1.65,1.05,0
