path_uid,from_node,to_node,path_id,node_index,node_id,offset_time
IN1__IN2__path_1,IN1,IN2,path_1,0,IN1,0.0
IN1__IN2__path_1,IN1,IN2,path_1,1,IN2,3.9
IN1__P1__path_1,IN1,P1,path_1,0,IN1,0.0
IN1__P1__path_1,IN1,P1,path_1,1,P1,3.141
IN1__P2__path_1,IN1,P2,path_1,0,IN1,0.0
IN1__P2__path_1,IN1,P2,path_1,1,P2,5.687
IN1__P3__path_1,IN1,P3,path_1,0,IN1,0.0
IN1__P3__path_1,IN1,P3,path_1,1,P3,5.733
IN1__P4__path_1,IN1,P4,path_1,0,IN1,0.0
IN1__P4__path_1,IN1,P4,path_1,1,P4,5.738
IN1__P5__path_1,IN1,P5,path_1,0,IN1,0.0
IN1__P5__path_1,IN1,P5,path_1,1,P5,6.843
IN1__P6__path_1,IN1,P6,path_1,0,IN1,0.0
IN1__P6__path_1,IN1,P6,path_1,1,P6,9.94
IN1__P7__path_1,IN1,P7,path_1,0,IN1,0.0
IN1__P7__path_1,IN1,P7,path_1,1,P7,7.797
IN1__P8__path_1,IN1,P8,path_1,0,IN1,0.0
IN1__P8__path_1,IN1,P8,path_1,1,P8,10.673
IN1__P9__path_1,IN1,P9,path_1,0,IN1,0.0
IN1__P9__path_1,IN1,P9,path_1,1,P9,7.857
IN1__SORT1__path_1,IN1,SORT1,path_1,0,IN1,0.0
IN1__SORT1__path_1,IN1,SORT1,path_1,1,SORT1,10.887
IN1__SORT2__path_1,IN1,SORT2,path_1,0,IN1,0.0
IN1__SORT2__path_1,IN1,SORT2,path_1,1,SORT2,11.543
IN1__OUT1__path_1,IN1,OUT1,path_1,0,IN1,0.0
IN1__OUT1__path_1,IN1,OUT1,path_1,1,OUT1,12.87
IN1__OUT2__path_1,IN1,OUT2,path_1,0,IN1,0.0
IN1__OUT2__path_1,IN1,OUT2,path_1,1,OUT2,13.201
IN1__CHG1__path_1,IN1,CHG1,path_1,0,IN1,0.0
IN1__CHG1__path_1,IN1,CHG1,path_1,1,CHG1,1.414
IN1__CHG2__path_1,IN1,CHG2,path_1,0,IN1,0.0
IN1__CHG2__path_1,IN1,CHG2,path_1,1,CHG2,9.414
IN2__IN1__path_1,IN2,IN1,path_1,0,IN2,0.0
IN2__IN1__path_1,IN2,IN1,path_1,1,IN1,3.9
IN2__P1__path_1,IN2,P1,path_1,0,IN2,0.0
IN2__P1__path_1,IN2,P1,path_1,1,P1,5.284
IN2__P2__path_1,IN2,P2,path_1,0,IN2,0.0
IN2__P2__path_1,IN2,P2,path_1,1,P2,5.728
IN2__P3__path_1,IN2,P3,path_1,0,IN2,0.0
IN2__P3__path_1,IN2,P3,path_1,1,P3,3.824
IN2__P4__path_1,IN2,P4,path_1,0,IN2,0.0
IN2__P4__path_1,IN2,P4,path_1,1,P4,7.018
IN2__P5__path_1,IN2,P5,path_1,0,IN2,0.0
