path_uid,from_node,to_node,path_id,sample_index,offset_time,x,y,theta,speed,footprint_radius
IN1__IN2__path_1,IN1,IN2,path_1,0,0.0,0.05,1.05,1.570796,1.0,0.25
IN1__IN2__path_1,IN1,IN2,path_1,1,0.5,0.05,1.55,1.570796,1.0,0.25
IN1__IN2__path_1,IN1,IN2,path_1,2,1.0,0.05,2.05,1.570796,1.0,0.25
IN1__IN2__path_1,IN1,IN2,path_1,3,1.5,0.05,2.55,1.570796,1.0,0.25
IN1__IN2__path_1,IN1,IN2,path_1,4,2.0,0.05,3.05,1.570796,1.0,0.25
IN1__IN2__path_1,IN1,IN2,path_1,5,2.5,0.05,3.55,1.570796,1.0,0.25
IN1__IN2__path_1,IN1,IN2,path_1,6,3.0,0.05,4.05,1.570796,1.0,0.25
IN1__IN2__path_1,IN1,IN2,path_1,7,3.5,0.05,4.55,1.570796,1.0,0.25
IN1__IN2__path_1,IN1,IN2,path_1,8,3.9,0.05,4.95,1.570796,1.0,0.25
IN1__P1__path_1,IN1,P1,path_1,0,0.0,0.05,1.05,0.0,1.0,0.25
IN1__P1__path_1,IN1,P1,path_1,1,0.5,0.55,1.05,0.0,1.0,0.25
IN1__P1__path_1,IN1,P1,path_1,2,1.0,1.05,1.05,0.0,1.0,0.25
IN1__P1__path_1,IN1,P1,path_1,3,1.5,1.55,1.05,0.0,1.0,0.25
IN1__P1__path_1,IN1,P1,path_1,4,2.0,2.05,1.05,0.0,1.0,0.25
IN1__P1__path_1,IN1,P1,path_1,5,2.5,2.55,1.05,0.0,1.0,0.25
IN1__P1__path_1,IN1,P1,path_1,6,3.0,3.05,1.05,0.0,1.0,0.25
IN1__P1__path_1,IN1,P1,path_1,7,3.141,3.15,0.95,0.0,1.0,0.25
IN1__P2__path_1,IN1,P2,path_1,0,0.0,0.05,1.05,0.0,1.0,0.25
IN1__P2__path_1,IN1,P2,path_1,1,0.5,0.55,1.05,0.0,1.0,0.25
IN1__P2__path_1,IN1,P2,path_1,2,1.0,1.05,1.05,0.0,1.0,0.25
IN1__P2__path_1,IN1,P2,path_1,3,1.5,1.433,1.333,0.785398,1.0,0.25
IN1__P2__path_1,IN1,P2,path_1,4,2.0,1.801,1.65,0.0,1.0,0.25
IN1__P2__path_1,IN1,P2,path_1,5,2.5,2.169,1.969,0.785398,1.0,0.25
IN1__P2__path_1,IN1,P2,path_1,6,3.0,2.523,2.323,0.785398,1.0,0.25
IN1__P2__path_1,IN1,P2,path_1,7,3.5,2.876,2.676,0.785398,1.0,0.25
IN1__P2__path_1,IN1,P2,path_1,8,4.0,3.263,2.95,0.0,1.0,0.25
IN1__P2__path_1,IN1,P2,path_1,9,4.5,3.763,2.95,0.0,1.0,0.25
IN1__P2__path_1,IN1,P2,path_1,10,5.0,4.263,2.95,0.0,1.0,0.25
IN1__P2__path_1,IN1,P2,path_1,11,5.5,4.35,2.537,-1.570796,1.0,0.25
IN1__P2__path_1,IN1,P2,path_1,12,5.687,4.35,2.35,-1.570796,1.0,0.25
IN1__P3__path_1,IN1,P3,path_1,0,0.0,0.05,1.05,0.785398,1.0,0.25
IN1__P3__path_1,IN1,P3,path_1,1,0.5,0.404,1.404,0.785398,1.0,0.25
IN1__P3__path_1,IN1,P3,path_1,2,1.0,0.757,1.757,0.785398,1.0,0.25
IN1__P3__path_1,IN1,P3,path_1,3,1.5,1.111,2.111,0.785398,1.0,0.25
IN1__P3__path_1,IN1,P3,path_1,4,2.0,1.464,2.464,0.785398,1.0,0.25
IN1__P3__path_1,IN1,P3,path_1,5,2.5,1.818,2.818,0.785398,1.0,0.25
IN1__P3__path_1,IN1,P3,path_1,6,3.0,2.171,3.171,0.785398,1.0,0.25
IN1__P3__path_1,IN1,P3,path_1,7,3.5,2.525,3.525,0.785398,1.0,0.25
IN1__P3__path_1,IN1,P3,path_1,8,4.0,2.878,3.878,0.785398,1.0,0.25
IN1__P3__path_1,IN1,P3,path_1,9,4.5,3.232,4.232,0.785398,1.0,0.25
IN1__P3__path_1,IN1,P3,path_1,10,5.0,3.45,4.642,1.570796,1.0,0.25
IN1__P3__path_1,IN1,P3,path_1,11,5.5,3.65,5.059,1.570796,1.0,0.25
IN1__P3__path_1,IN1,P3,path_1,12,5.733,3.75,5.25,1.570796,1.0,0.25
IN1__P4__path_1,IN1,P4,path_1,0,0.0,0.05,1.05,0.0,1.0,0.25
IN1__P4__path_1,IN1,P4,path_1,1,0.5,0.55,1.05,0.0,1.0,0.25
IN1__P4__path_1,IN1,P4,path_1,2,1.0,1.05,1.05,0.0,1.0,0.25
IN1__P4__path_1,IN1,P4,path_1,3,1.5,1.433,0.767,-0.785398,1.0,0.25
IN1__P4__path_1,IN1,P4,path_1,4,2.0,1.801,0.45,0.0,1.0,0.25
IN1__P4__path_1,IN1,P4,path_1,5,2.5,2.301,0.45,0.0,1.0,0.25
IN1__P4__path_1,IN1,P4,path_1,6,3.0,2.801,0.45,0.0,1.0,0.25
IN1__P4__path_1,IN1,P4,path_1,7,3.5,3.301,0.45,0.0,1.0,0.25
IN1__P4__path_1,IN1,P4,path_1,8,4.0,3.801,0.45,0.0,1.0,0.25
IN1__P4__path_1,IN1,P4,path_1,9,4.5,4.301,0.45,0.0,1.0,0.25
IN1__P4__path_1,IN1,P4,path_1,10,5.0,4.669,0.769,0.785398,1.0,0.25
IN1__P4__path_1,IN1,P4,path_1,11,5.5,4.95,1.153,1.570796,1.0,0.25
IN1__P4__path_1,IN1,P4,path_1,12,5.738,5.05,1.35,1.570796,1.0,0.25
IN1__P5__path_1,IN1,P5,path_1,0,0.0,0.05,1.05,0.785398,1.0,0.25
IN1__P5__path_1,IN1,P5,path_1,1,0.5,0.404,1.404,0.785398,1.0,0.25
IN1__P5__path_1,IN1,P5,path_1,2,1.0,0.816,1.616,0.785398,1.0,0.25
IN1__P5__path_1,IN1,P5,path_1,3,1.5,1.169,1.969,0.785398,1.0,0.25
IN1__P5__path_1,IN1,P5,path_1,4,2.0,1.523,2.323,0.785398,1.0,0.25
IN1__P5__path_1,IN1,P5,path_1,5,2.5,1.876,2.676,0.785398,1.0,0.25
IN1__P5__path_1,IN1,P5,path_1,6,3.0,2.23,3.03,0.785398,1.0,0.25
IN1__P5__path_1,IN1,P5,path_1,7,3.5,2.583,3.383,0.785398,1.0,0.25
IN1__P5__path_1,IN1,P5,path_1,8,4.0,2.937,3.737,0.785398,1.0,0.25
