node_id,node_type,x,y,source
IN1,inbound,0.0,1.0,amr_init
IN2,inbound,0.0,5.0,amr_init
P1,shelf,2.98,0.95,pickup
P2,shelf,4.52,2.35,pickup
P3,shelf,3.58,5.25,pickup
P4,shelf,4.98,1.35,pickup
P5,shelf,5.62,4.1,pickup
P6,shelf,7.98,5.72,pickup
P7,shelf,7.28,1.0,pickup
P8,shelf,8.82,2.35,pickup
P9,shelf,6.08,5.05,pickup
SORT1,sorting,9.72,2.16,delivery
SORT2,sorting,10.36,4.05,delivery
OUT1,outbound,12.0,2.0,delivery
OUT2,outbound,12.0,4.0,delivery
CHG1,charger,1.0,0.0,amr_init;charger
CHG2,charger,9.0,0.0,amr_init;charger
