from_node,IN1,IN2,P1,P2,P3,P4,P5,P6,P7,P8,P9,SORT1,SORT2,OUT1,OUT2,CHG1,CHG2
IN1,0.0,4.0,2.98,5.903,5.557,5.678,6.492,9.831,7.62,10.675,7.4,10.729,11.226,12.388,12.866,1.414,9.079
IN2,4.0,0.0,5.028,5.635,3.589,6.699,5.702,8.995,9.108,9.873,6.564,10.411,10.439,12.44,12.08,5.099,11.521
P1,2.98,5.028,0.0,4.054,4.366,3.163,4.94,8.279,5.105,8.16,5.848,8.214,9.674,9.873,11.314,2.196,6.564
P2,5.903,5.635,4.054,0.0,3.183,1.101,2.459,5.798,4.192,5.376,3.367,5.914,6.203,7.943,7.794,5.518,5.991
P3,5.557,3.589,4.366,3.183,0.0,4.247,2.978,6.272,6.652,7.149,3.841,7.687,7.716,9.716,9.356,5.85,9.158
P4,5.678,6.699,3.163,1.101,4.247,0.0,3.432,6.772,3.453,6.508,4.341,6.562,6.941,8.221,8.532,4.627,4.923
P5,6.492,5.702,4.94,2.459,2.978,3.432,0.0,3.516,3.985,4.171,1.056,4.709,4.74,6.738,6.381,6.505,6.527
P6,9.831,8.995,8.279,5.798,6.272,6.772,3.516,0.0,5.247,3.642,2.484,4.073,2.939,5.525,4.384,9.845,5.998
P7,7.62,9.108,5.105,4.192,6.652,3.453,3.985,5.247,0.0,3.706,4.383,3.76,5.329,5.419,6.919,6.564,2.195
P8,10.675,9.873,8.16,5.376,7.149,6.508,4.171,3.642,3.706,0.0,4.568,0.92,2.294,3.199,3.583,9.619,2.357
P9,7.4,6.564,5.848,3.367,3.841,4.341,1.056,2.484,4.383,4.568,0.0,5.106,5.114,7.135,6.755,7.414,6.924
SORT1,10.729,10.411,8.214,5.914,7.687,6.562,4.709,4.073,3.76,0.92,5.106,0.0,1.995,2.286,2.93,9.674,2.277
SORT2,11.226,10.439,9.674,6.203,7.716,6.941,4.74,2.939,5.329,2.294,5.114,1.995,0.0,2.625,1.641,11.239,4.272
OUT1,12.388,12.44,9.873,7.943,9.716,8.221,6.738,5.525,5.419,3.199,7.135,2.286,2.625,0.0,2.0,11.333,3.606
OUT2,12.866,12.08,11.314,7.794,9.356,8.532,6.381,4.384,6.919,3.583,6.755,2.93,1.641,2.0,0.0,12.525,5.0
CHG1,1.414,5.099,2.196,5.518,5.85,4.627,6.505,9.845,6.564,9.619,7.414,9.674,11.239,11.333,12.525,0.0,8.0
CHG2,9.079,11.521,6.564,5.991,9.158,4.923,6.527,5.998,2.195,2.357,6.924,2.277,4.272,3.606,5.0,8.0,0.0
