from_node,IN1,IN2,P1,P2,P3,P4,P5,P6,P7,P8,P9,SORT1,SORT2,OUT1,OUT2,CHG1,CHG2
IN1,0.0,4.0,3.12,6.437,5.648,5.946,6.546,9.994,7.828,11.11,7.427,10.994,13.025,12.523,13.82,1.414,9.085
IN2,4.0,0.0,5.112,5.892,3.728,6.87,5.922,8.302,10.48,13.733,6.819,12.593,11.32,13.952,12.719,5.099,11.736
P1,3.12,5.112,0.0,4.776,4.43,3.701,5.251,8.634,5.584,8.865,6.074,8.749,10.78,10.278,11.575,2.323,6.84
P2,6.437,5.892,4.776,0.0,3.198,1.215,2.695,5.968,5.021,8.302,3.479,8.186,9.061,9.715,10.46,5.878,6.267
P3,5.648,3.728,4.43,3.198,0.0,4.262,3.488,5.628,8.134,11.06,4.419,9.919,8.646,11.278,10.045,5.913,9.381
P4,5.946,6.87,3.701,1.215,4.262,0.0,3.77,7.043,3.953,7.234,4.554,7.119,9.149,8.647,9.944,4.802,5.199
P5,6.546,5.922,5.251,2.695,3.488,3.77,0.0,3.968,7.819,8.22,1.243,8.334,7.061,9.692,8.46,6.654,9.065
P6,9.994,8.302,8.634,5.968,5.628,7.043,3.968,0.0,9.911,5.185,2.779,4.045,2.813,5.404,4.308,10.037,8.037
P7,7.828,10.48,5.584,5.021,8.134,3.953,7.819,9.911,0.0,4.308,8.603,4.192,6.223,5.721,7.018,6.7,2.252
P8,11.11,13.733,8.865,8.302,11.06,7.234,8.22,5.185,4.308,0.0,8.285,1.018,2.362,3.299,3.672,9.985,2.367
P9,7.427,6.819,6.074,3.479,4.419,4.554,1.243,2.779,8.603,8.285,0.0,7.145,5.872,8.503,7.271,7.477,9.85
SORT1,10.994,12.593,8.749,8.186,9.919,7.119,8.334,4.045,4.192,1.018,7.145,0.0,1.995,2.286,2.93,9.869,2.277
SORT2,13.025,11.32,10.78,9.061,8.646,9.149,7.061,2.813,6.223,2.362,5.872,1.995,0.0,2.625,1.641,11.899,4.272
OUT1,12.523,13.952,10.278,9.715,11.278,8.647,9.692,5.404,5.721,3.299,8.503,2.286,2.625,0.0,2.0,11.398,3.606
OUT2,13.82,12.719,11.575,10.46,10.045,9.944,8.46,4.308,7.018,3.672,7.271,2.93,1.641,2.0,0.0,12.694,5.0
CHG1,1.414,5.099,2.323,5.878,5.913,4.802,6.654,10.037,6.7,9.985,7.477,9.869,11.899,11.398,12.694,0.0,8.0
CHG2,9.085,11.736,6.84,6.267,9.381,5.199,9.065,8.037,2.252,2.367,9.85,2.277,4.272,3.606,5.0,8.0,0.0
