path_uid,from_node,to_node,path_id,sample_index,offset_time,x,y,theta,speed,footprint_radius
IN1__IN2__path_1,IN1,IN2,path_1,0,0.0,0.0,1.0,1.570796,1.0,0.25
IN1__IN2__path_1,IN1,IN2,path_1,1,0.5,0.0,1.5,1.570796,1.0,0.25
IN1__IN2__path_1,IN1,IN2,path_1,2,1.0,0.0,2.0,1.570796,1.0,0.25
IN1__IN2__path_1,IN1,IN2,path_1,3,1.5,0.0,2.5,1.570796,1.0,0.25
IN1__IN2__path_1,IN1,IN2,path_1,4,2.0,0.0,3.0,1.570796,1.0,0.25
IN1__IN2__path_1,IN1,IN2,path_1,5,2.5,0.0,3.5,1.570796,1.0,0.25
IN1__IN2__path_1,IN1,IN2,path_1,6,3.0,0.0,4.0,1.570796,1.0,0.25
IN1__IN2__path_1,IN1,IN2,path_1,7,3.5,0.0,4.5,1.570796,1.0,0.25
IN1__IN2__path_1,IN1,IN2,path_1,8,4.0,0.0,5.0,1.570796,1.0,0.25
IN1__P1__path_1,IN1,P1,path_1,0,0.0,0.0,1.0,-0.016024,1.0,0.25
IN1__P1__path_1,IN1,P1,path_1,1,0.5,0.5,0.992,-0.016024,1.0,0.25
IN1__P1__path_1,IN1,P1,path_1,2,1.0,1.0,0.984,-0.016024,1.0,0.25
IN1__P1__path_1,IN1,P1,path_1,3,1.5,1.5,0.976,-0.016024,1.0,0.25
IN1__P1__path_1,IN1,P1,path_1,4,2.0,2.0,0.968,-0.016024,1.0,0.25
IN1__P1__path_1,IN1,P1,path_1,5,2.5,2.5,0.96,-0.016024,1.0,0.25
IN1__P1__path_1,IN1,P1,path_1,6,3.0,3.0,0.952,-0.016024,1.0,0.25
IN1__P1__path_1,IN1,P1,path_1,7,3.12,3.12,0.95,-0.016024,1.0,0.25
IN1__P2__path_1,IN1,P2,path_1,0,0.0,0.0,1.0,0.536312,1.0,0.25
IN1__P2__path_1,IN1,P2,path_1,1,0.5,0.43,1.255,0.536312,1.0,0.25
IN1__P2__path_1,IN1,P2,path_1,2,1.0,0.86,1.511,0.536312,1.0,0.25
IN1__P2__path_1,IN1,P2,path_1,3,1.5,1.289,1.766,0.536312,1.0,0.25
