path_uid,from_node,to_node,path_id,rank_by_total,algorithm,node_sequence,edge_sequence,edge_occupancy_offset,node_occupancy_offset,path_geometry,grid_cell_sequence,trajectory_sample_count,distance,travel_time,turn_count,turn_cost,risk_cost,dynamic_cost,total_cost,planning_status,start_cell,goal_cell
IN1__IN2__path_1,IN1,IN2,path_1,1,vg,IN1->IN2,,,IN1@0;IN2@4,"0.00,1.00;0.00,5.00",,9,4.0,4.0,0,0.0,0.0,0.0,4.0,ok,,
IN1__P1__path_1,IN1,P1,path_1,1,vg,IN1->P1,,,IN1@0;P1@3.12,"0.00,1.00;3.12,0.95",,8,3.12,3.12,0,0.0,0.0,0.0,3.12,ok,,
IN1__P2__path_1,IN1,P2,path_1,1,vg,IN1->P2,,,IN1@0;P2@5.419,"0.00,1.00;3.23,2.92;4.32,2.92;4.36,2.35",,12,5.419,5.419,2,0.0,0.0,0.0,5.419,ok,,
IN1__P3__path_1,IN1,P3,path_1,1,vg,IN1->P3,,,IN1@0;P3@5.648,"0.00,1.00;3.72,5.25",,13,5.648,5.648,0,0.0,0.0,0.0,5.648,ok,,
IN1__P4__path_1,IN1,P4,path_1,1,vg,IN1->P4,,,IN1@0;P4@5.452,"0.00,1.00;3.23,0.53;4.32,0.53;5.05,1.35",,12,5.452,5.452,2,0.0,0.0,0.0,5.452,ok,,
IN1__P5__path_1,IN1,P5,path_1,1,vg,IN1->P5,,,IN1@0;P5@6.423,"0.00,1.00;3.23,2.92;5.03,3.82;5.62,4.10",,14,6.423,6.423,2,0.0,0.0,0.0,6.423,ok,,
IN1__P6__path_1,IN1,P6,path_1,1,vg,IN1->P6,,,IN1@0;P6@9.466,"0.00,1.00;5.32,4.43;6.33,5.52;7.98,5.55",,20,9.466,9.466,2,0.0,0.0,0.0,9.466,ok,,
IN1__P7__path_1,IN1,P7,path_1,1,vg,IN1->P7,,,IN1@0;P7@7.517,"0.00,1.00;3.23,0.53;4.32,0.53;6.57,0.58;7.38,1.00",,17,7.517,7.517,3,0.0,0.0,0.0,7.517,ok,,
IN1__P8__path_1,IN1,P8,path_1,1,vg,IN1->P8,,,IN1@0;P8@10.233,"0.00,1.00;3.23,2.92;5.03,3.82;6.32,3.82;7.72,3.62;8.62,3.02;8.72,2.35",,22,10.233,10.233,5,0.0,0.0,0.0,10.233,ok,,
IN1__P9__path_1,IN1,P9,path_1,1,vg,IN1->P9,,,IN1@0;P9@7.406,"0.00,1.00;5.32,4.43;6.20,5.05",,16,7.406,7.406,1,0.0,0.0,0.0,7.406,ok,,
IN1__SORT1__path_1,IN1,SORT1,path_1,1,vg,IN1->SORT1,,,IN1@0;SORT1@10.464,"0.00,1.00;3.23,0.53;4.32,0.53;6.57,0.58;8.62,0.73;9.72,2.16",,22,10.464,10.464,4,0.0,0.0,0.0,10.464,ok,,
IN1__SORT2__path_1,IN1,SORT2,path_1,1,vg,IN1->SORT2,,,IN1@0;SORT2@11.105,"0.00,1.00;3.23,2.92;5.03,3.82;10.36,4.05",,24,11.105,11.105,2,0.0,0.0,0.0,11.105,ok,,
IN1__OUT1__path_1,IN1,OUT1,path_1,1,vg,IN1->OUT1,,,IN1@0;OUT1@12.271,"0.00,1.00;3.23,0.53;4.32,0.53;6.57,0.58;8.62,0.73;12.00,2.00",,26,12.271,12.271,4,0.0,0.0,0.0,12.271,ok,,
IN1__OUT2__path_1,IN1,OUT2,path_1,1,vg,IN1->OUT2,,,IN1@0;OUT2@12.742,"0.00,1.00;3.23,2.92;5.03,3.82;12.00,4.00",,27,12.742,12.742,2,0.0,0.0,0.0,12.742,ok,,
IN1__CHG1__path_1,IN1,CHG1,path_1,1,vg,IN1->CHG1,,,IN1@0;CHG1@1.414,"0.00,1.00;1.00,0.00",,4,1.414,1.414,0,0.0,0.0,0.0,1.414,ok,,
IN1__CHG2__path_1,IN1,CHG2,path_1,1,vg,IN1->CHG2,,,IN1@0;CHG2@9.058,"0.00,1.00;3.23,0.53;9.00,0.00",,20,9.058,9.058,1,0.0,0.0,0.0,9.058,ok,,
IN2__IN1__path_1,IN2,IN1,path_1,1,vg,IN2->IN1,,,IN2@0;IN1@4,"0.00,5.00;0.00,1.00",,9,4.0,4.0,0,0.0,0.0,0.0,4.0,ok,,
IN2__P1__path_1,IN2,P1,path_1,1,vg,IN2->P1,,,IN2@0;P1@5.112,"0.00,5.00;3.12,0.95",,12,5.112,5.112,0,0.0,0.0,0.0,5.112,ok,,
IN2__P2__path_1,IN2,P2,path_1,1,vg,IN2->P2,,,IN2@0;P2@5.366,"0.00,5.00;4.32,2.92;4.36,2.35",,12,5.366,5.366,1,0.0,0.0,0.0,5.366,ok,,
