from_node,IN1,IN2,P1,P2,P3,P4,P5,P6,P7,P8,P9,SORT1,SORT2,OUT1,OUT2,CHG1,CHG2
IN1,0.0,4.0,3.12,5.419,5.648,5.452,6.423,9.466,7.517,10.233,7.406,10.464,11.105,12.271,12.742,1.414,9.058
IN2,4.0,0.0,5.112,5.366,3.728,6.526,5.692,8.115,8.787,9.601,6.439,10.32,10.413,12.419,12.053,5.099,10.737
P1,3.12,5.112,0.0,3.345,4.354,2.622,4.639,7.688,4.687,7.453,5.628,7.634,9.32,9.441,10.533,2.323,6.228
P2,5.419,5.366,3.345,0.0,2.986,1.215,2.269,5.406,4.004,5.792,3.313,6.511,6.696,8.609,8.326,5.182,5.787
P3,5.648,3.728,4.354,2.986,0.0,4.14,2.648,4.855,6.096,6.56,3.394,7.279,7.368,9.377,9.009,5.913,8.046
P4,5.452,6.526,2.622,1.215,4.14,0.0,3.123,6.061,3.043,5.809,4.168,5.99,7.033,7.797,8.663,4.46,4.605
P5,6.423,5.692,4.639,2.269,2.648,3.123,0.0,3.238,3.812,3.913,1.113,4.632,4.74,6.73,6.381,6.34,5.762
P6,9.466,8.115,7.688,5.406,4.855,6.061,3.238,0.0,5.833,3.298,2.138,3.816,2.813,5.363,4.308,9.389,5.665
P7,7.517,8.787,4.687,4.004,6.096,3.043,3.812,5.833,0.0,3.022,4.294,3.203,5.147,5.01,6.102,6.513,1.95
P8,10.233,9.601,7.453,5.792,6.56,5.809,3.913,3.298,3.022,0.0,4.052,1.018,2.362,3.299,3.672,9.278,2.367
P9,7.406,6.439,5.628,3.313,3.394,4.168,1.113,2.138,4.294,4.052,0.0,4.77,4.771,6.862,6.411,7.329,6.244
SORT1,10.464,10.32,7.634,6.511,7.279,5.99,4.632,3.816,3.203,1.018,4.77,0.0,1.995,2.286,2.93,9.459,2.277
SORT2,11.105,10.413,9.32,6.696,7.368,7.033,4.74,2.813,5.147,2.362,4.771,1.995,0.0,2.625,1.641,11.022,4.272
OUT1,12.271,12.419,9.441,8.609,9.377,7.797,6.73,5.363,5.01,3.299,6.862,2.286,2.625,0.0,2.0,11.266,3.606
OUT2,12.742,12.053,10.533,8.326,9.009,8.663,6.381,4.308,6.102,3.672,6.411,2.93,1.641,2.0,0.0,12.358,5.0
CHG1,1.414,5.099,2.323,5.182,5.913,4.46,6.34,9.389,6.513,9.278,7.329,9.459,11.022,11.266,12.358,0.0,8.0
CHG2,9.058,10.737,6.228,5.787,8.046,4.605,5.762,5.665,1.95,2.367,6.244,2.277,4.272,3.606,5.0,8.0,0.0
