path_uid,from_node,to_node,path_id,cell_index,row,col,x,y,is_dynamic
IN1__IN2__path_1,IN1,IN2,path_1,0,,,0.0,1.0,0
IN1__IN2__path_1,IN1,IN2,path_1,1,,,0.0,5.0,0
IN1__P1__path_1,IN1,P1,path_1,0,,,0.0,1.0,0
IN1__P1__path_1,IN1,P1,path_1,1,,,3.12,0.95,0
IN1__P2__path_1,IN1,P2,path_1,0,,,0.0,1.0,0
IN1__P2__path_1,IN1,P2,path_1,1,,,3.23,2.92,0
IN1__P2__path_1,IN1,P2,path_1,2,,,4.32,2.92,0
IN1__P2__path_1,IN1,P2,path_1,3,,,4.36,2.35,0
IN1__P3__path_1,IN1,P3,path_1,0,,,0.0,1.0,0
IN1__P3__path_1,IN1,P3,path_1,1,,,3.72,5.25,0
IN1__P4__path_1,IN1,P4,path_1,0,,,0.0,1.0,0
IN1__P4__path_1,IN1,P4,path_1,1,,,3.23,0.53,0
IN1__P4__path_1,IN1,P4,path_1,2,,,4.32,0.53,0
IN1__P4__path_1,IN1,P4,path_1,3,,,5.05,1.35,0
IN1__P5__path_1,IN1,P5,path_1,0,,,0.0,1.0,0
IN1__P5__path_1,IN1,P5,path_1,1,,,3.23,2.92,0
IN1__P5__path_1,IN1,P5,path_1,2,,,5.03,3.82,0
IN1__P5__path_1,IN1,P5,path_1,3,,,5.62,4.1,0
IN1__P6__path_1,IN1,P6,path_1,0,,,0.0,1.0,0
IN1__P6__path_1,IN1,P6,path_1,1,,,5.32,4.43,0
IN1__P6__path_1,IN1,P6,path_1,2,,,6.33,5.52,0
IN1__P6__path_1,IN1,P6,path_1,3,,,7.98,5.55,0
IN1__P7__path_1,IN1,P7,path_1,0,,,0.0,1.0,0
IN1__P7__path_1,IN1,P7,path_1,1,,,3.23,0.53,0
IN1__P7__path_1,IN1,P7,path_1,2,,,4.32,0.53,0
IN1__P7__path_1,IN1,P7,path_1,3,,,6.57,0.58,0
IN1__P7__path_1,IN1,P7,path_1,4,,,7.38,1.0,0
IN1__P8__path_1,IN1,P8,path_1,0,,,0.0,1.0,0
