amr_id,assigned_amr,task_id,sequence_order,predecessor_task_id,start_node,pickup,delivery,service_time,earliest_start,latest_finish,priority,transition_path_uid,transition_path_id,transition_travel_time,transition_distance,transition_cost,loaded_path_uid,loaded_path_id,loaded_travel_time,loaded_distance,loaded_cost,estimated_arrival_pickup,estimated_start_time,estimated_finish_time,estimated_delay,estimated_waiting,energy_used,battery_after,transition_status,loaded_path_status,assignment_method,notes
AMR1,AMR1,T06,1,,IN1,P2,SORT1,2.0,6.0,36.0,1.0,vg::IN1__P2__path_1,path_1,5.419,5.419,6.419,avg::P2__SORT1__path_1,path_3,7.553333,6.798,8.798,5.419,6.0,15.553333,0.0,0.581,13.9766,76.0234,ok,ok,m3_regret_insertion_ls+mixed,
AMR1,AMR1,T03,2,T06,SORT1,P5,SORT1,3.0,2.0,32.0,1.0,vg::SORT1__P5__path_1,path_1,4.632,4.632,5.632,vg::P5__SORT1__path_1,path_1,5.146667,4.632,5.632,20.185333,20.185333,28.332,0.0,0.0,10.7904,65.233,ok,ok,m3_regret_insertion_ls+mixed,
AMR1,AMR1,T07,3,T03,SORT1,P7,OUT1,3.0,8.0,42.0,2.0,vg::SORT1__P7__path_1,path_1,3.203,3.203,4.202999999999999,vg::P7__OUT1__path_1,path_1,5.566667,5.01,6.01,31.535,31.535,40.101667,0.0,0.0,9.815,55.418,ok,ok,m3_regret_insertion_ls+mixed,
AMR2,AMR2,T02,1,,IN2,P3,SORT2,2.0,0.0,28.0,2.0,vg::IN2__P3__path_1,path_1,3.728,3.728,3.728,vg::P3__SORT2__path_1,path_1,8.186667,7.368,7.868,3.728,3.728,13.914667,0.0,0.0,12.9696,72.0304,ok,ok,m3_regret_insertion_ls+mixed,
AMR2,AMR2,T10,2,T02,SORT2,P5,OUT1,3.0,14.0,50.0,2.0,basic_astar::SORT2__P5__path_1,path_1,4.7,4.7,4.7,davg::P5__OUT1__path_1,path_2,9.545556,8.591,9.591,18.614667,18.614667,31.160222,0.0,0.0,15.6092,56.4212,ok,ok,m3_regret_insertion_ls+mixed,
AMR2,AMR2,T12,3,T10,OUT1,P8,OUT1,2.0,18.0,55.0,3.0,vg::OUT1__P8__path_1,path_1,3.299,3.299,3.299,vg::P8__OUT1__path_1,path_1,3.665556,3.299,3.299,34.459222,34.459222,40.124778,0.0,0.0,7.6578,48.7634,ok,ok,m3_regret_insertion_ls+mixed,
AMR3,AMR3,T01,1,,CHG1,P1,SORT1,2.0,0.0,25.0,2.0,vg::CHG1__P1__path_1,path_1,2.581111,2.323,2.323,vg::P1__SORT1__path_1,path_1,9.424691,7.634,9.634,2.581111,2.581111,14.005802,0.0,0.0,11.8838,88.1162,ok,ok,m3_regret_insertion_ls+mixed,
AMR3,AMR3,T05,2,T01,SORT1,P6,OUT2,2.0,5.0,38.0,2.0,vg::SORT1__P6__path_1,path_1,4.24,3.816,4.316,vg::P6__OUT2__path_1,path_1,5.318519,4.308,4.308,18.245802,18.245802,25.564321,0.0,0.0,9.3856,78.7306,ok,ok,m3_regret_insertion_ls+mixed,
AMR3,AMR3,T08,3,T05,OUT2,P9,SORT2,2.0,10.0,45.0,3.0,vg::OUT2__P9__path_1,path_1,7.123333,6.411,6.911,vg::P9__SORT2__path_1,path_1,5.890123,4.771,5.271,32.687654,32.687654,40.577778,0.0,0.0,12.5362,66.1944,ok,ok,m3_regret_insertion_ls+mixed,
AMR4,AMR4,T04,1,,CHG2,P8,SORT2,2.0,4.0,35.0,3.0,vg::CHG2__P8__path_1,path_1,2.151818,2.367,2.367,vg::P8__SORT2__path_1,path_1,2.385859,2.362,2.362,2.151818,4.0,8.385859,0.0,1.848182,5.6014,74.3986,ok,ok,m3_regret_insertion_ls+mixed,
AMR4,AMR4,T09,2,T04,SORT2,P4,SORT1,2.0,12.0,48.0,1.0,vg::SORT2__P4__path_1,path_1,6.393636,7.033,8.533000000000001,vg::P4__SORT1__path_1,path_1,6.050505,5.99,7.49,14.779495,14.779495,22.83,0.0,0.0,14.621,59.7776,ok,ok,m3_regret_insertion_ls+mixed,
AMR4,AMR4,T11,3,T09,SORT1,P3,OUT2,2.0,16.0,52.0,2.0,vg::SORT1__P3__path_1,path_1,6.617273,7.279,8.779,vg::P3__OUT2__path_1,path_1,9.1,9.009,9.509,29.447273,29.447273,40.547273,0.0,0.0,18.4898,41.2878,ok,ok,m3_regret_insertion_ls+mixed,
