mode,iteration,conflict_id,conflict_time,conflict_type,before_conflicts,action,target_amr,target_task,target_sequence_order,segment_type,old_path_uid,new_path_uid,wait_added,after_conflicts,objective
wait,1,C001,10.703,space,21,mid_path_wait,AMR2,T02,1,loaded,vg::P3__SORT2__path_1,vg::P3__SORT2__path_1,20.0,16,2621.689355
wait,2,C001,14.22,space,16,mid_path_wait,AMR3,T01,1,loaded,vg::P1__SORT1__path_1,vg::P1__SORT1__path_1,5.0,7,2626.689355
wait,3,C001,17.2185,space,7,mid_path_wait,AMR4,T08,2,loaded,vg::P9__SORT2__path_1,vg::P9__SORT2__path_1,8.0,4,2634.689355
wait,4,C001,30.7175,space,4,mid_path_wait,AMR2,T02,1,loaded,vg::P3__SORT2__path_1,vg::P3__SORT2__path_1,5.0,2,250.98485
wait,5,C001,10.703,space,2,mid_path_wait,AMR2,T02,1,loaded,vg::P3__SORT2__path_1,vg::P3__SORT2__path_1,5.0,0,250.98485
wait_reroute,1,C001,10.703,space,21,mid_path_wait,AMR2,T02,1,loaded,vg::P3__SORT2__path_1,vg::P3__SORT2__path_1,20.0,16,2621.689355
wait_reroute,2,C001,14.22,space,16,mid_path_wait,AMR3,T01,1,loaded,vg::P1__SORT1__path_1,vg::P1__SORT1__path_1,5.0,7,2626.689355
wait_reroute,3,C001,17.2185,space,7,mid_path_wait,AMR4,T08,2,loaded,vg::P9__SORT2__path_1,vg::P9__SORT2__path_1,8.0,4,2634.689355
wait_reroute,4,C001,30.7175,space,4,mid_path_wait,AMR2,T02,1,loaded,vg::P3__SORT2__path_1,vg::P3__SORT2__path_1,5.0,2,250.98485
wait_reroute,5,C001,10.703,space,2,mid_path_wait,AMR2,T02,1,loaded,vg::P3__SORT2__path_1,vg::P3__SORT2__path_1,5.0,0,250.98485
wait_reroute_resequence,1,C001,10.703,space,21,mid_path_wait,AMR2,T02,1,loaded,vg::P3__SORT2__path_1,vg::P3__SORT2__path_1,20.0,16,2621.689355
wait_reroute_resequence,2,C001,14.22,space,16,mid_path_wait,AMR3,T01,1,loaded,vg::P1__SORT1__path_1,vg::P1__SORT1__path_1,5.0,7,2626.689355
wait_reroute_resequence,3,C001,17.2185,space,7,mid_path_wait,AMR4,T08,2,loaded,vg::P9__SORT2__path_1,vg::P9__SORT2__path_1,8.0,4,2634.689355
wait_reroute_resequence,4,C001,30.7175,space,4,mid_path_wait,AMR2,T02,1,loaded,vg::P3__SORT2__path_1,vg::P3__SORT2__path_1,5.0,2,250.98485
wait_reroute_resequence,5,C001,10.703,space,2,mid_path_wait,AMR2,T02,1,loaded,vg::P3__SORT2__path_1,vg::P3__SORT2__path_1,5.0,0,250.98485
