amr_id,task_id,sequence_order,segment_type,path_uid,node_index,node_id,time
AMR1,T05,1,transition,IN1__P6__path_1,0,IN1,0.0
AMR1,T05,1,transition,IN1__P6__path_1,1,P6,9.94
AMR1,T05,1,loaded,P6__OUT2__path_1,0,P6,11.94
AMR1,T05,1,loaded,P6__OUT2__path_1,1,OUT2,16.703
AMR1,T06,2,transition,OUT2__P2__path_1,0,OUT2,16.703
AMR1,T06,2,transition,OUT2__P2__path_1,1,P2,25.534
AMR1,T06,2,loaded,P2__SORT1__path_1,0,P2,27.534
AMR1,T06,2,loaded,P2__SORT1__path_1,1,SORT1,34.562
AMR1,T11,3,transition,SORT1__P3__path_1,0,SORT1,34.562
AMR1,T11,3,transition,SORT1__P3__path_1,1,P3,42.373
AMR1,T11,3,loaded,P3__OUT2__path_1,0,P3,44.373
AMR1,T11,3,loaded,P3__OUT2__path_1,1,OUT2,53.739
AMR2,T02,1,transition,IN2__P3__path_1,0,IN2,0.0
AMR2,T02,1,transition,IN2__P3__path_1,1,P3,3.824
AMR2,T02,1,loaded,P3__SORT2__path_1,0,P3,5.824
AMR2,T02,1,loaded,P3__SORT2__path_1,1,SORT2,13.448
AMR2,T08,2,transition,SORT2__P9__path_1,0,SORT2,13.448
AMR2,T08,2,transition,SORT2__P9__path_1,1,P9,18.431
AMR2,T08,2,loaded,P9__SORT2__path_1,0,P9,20.431
AMR2,T08,2,loaded,P9__SORT2__path_1,1,SORT2,25.414
AMR2,T10,3,transition,SORT2__P5__path_1,0,SORT2,25.414
AMR2,T10,3,transition,SORT2__P5__path_1,1,P5,30.114
AMR2,T10,3,loaded,P5__OUT1__path_1,0,P5,33.114
AMR2,T10,3,loaded,P5__OUT1__path_1,1,OUT1,40.384
AMR3,T01,1,transition,CHG1__P1__path_1,0,CHG1,0.0
AMR3,T01,1,transition,CHG1__P1__path_1,1,P1,2.473
AMR3,T01,1,loaded,P1__SORT1__path_1,0,P1,4.473
AMR3,T01,1,loaded,P1__SORT1__path_1,1,SORT1,12.511
AMR3,T09,2,transition,SORT1__P4__path_1,0,SORT1,12.511
AMR3,T09,2,transition,SORT1__P4__path_1,1,P4,18.849
AMR3,T09,2,loaded,P4__SORT1__path_1,0,P4,20.849
AMR3,T09,2,loaded,P4__SORT1__path_1,1,SORT1,27.187
AMR4,T03,1,transition,CHG2__P5__path_1,0,CHG2,0.0
AMR4,T03,1,transition,CHG2__P5__path_1,1,P5,6.404
AMR4,T03,1,loaded,P5__SORT1__path_1,0,P5,9.404
AMR4,T03,1,loaded,P5__SORT1__path_1,1,SORT1,14.291
AMR4,T04,2,transition,SORT1__P8__path_1,0,SORT1,14.291
AMR4,T04,2,transition,SORT1__P8__path_1,1,P8,15.374
AMR4,T04,2,loaded,P8__SORT2__path_1,0,P8,17.374
AMR4,T04,2,loaded,P8__SORT2__path_1,1,SORT2,19.737
AMR4,T07,3,transition,SORT2__P7__path_1,0,SORT2,19.737
AMR4,T07,3,transition,SORT2__P7__path_1,1,P7,25.483
AMR4,T07,3,loaded,P7__OUT1__path_1,0,P7,28.483
AMR4,T07,3,loaded,P7__OUT1__path_1,1,OUT1,34.063
AMR4,T12,4,transition,OUT1__P8__path_1,0,OUT1,34.063
AMR4,T12,4,transition,OUT1__P8__path_1,1,P8,37.529
AMR4,T12,4,loaded,P8__OUT1__path_1,0,P8,39.529
AMR4,T12,4,loaded,P8__OUT1__path_1,1,OUT1,42.995
