task_id,old_amr,new_amr,old_start,new_start,old_finish,new_finish,changed,affected_event_ids,change_reason,delay_added,reschedule_status,reschedule_method,sequence_order,pickup,delivery,path_uid,transition_path_uid,loaded_path_uid,notes
T06,AMR1,AMR1,6.0,6.0,15.808889,15.808889,0,,,0.0,scheduled,rolling_horizon_2d_interface_stub,1,P2,SORT1,P2__SORT1__path_1,IN1__P2__path_1,P2__SORT1__path_1,
T03,AMR1,AMR1,20.695889,26.386889,29.125889,34.816889,1,E01,area_block:BLOCK_01,5.690999999999999,scheduled,rolling_horizon_2d_interface_stub,2,P5,SORT1,P5__SORT1__path_1,SORT1__P5__path_1,P5__SORT1__path_1,
T07,AMR1,AMR1,32.722889,38.413889,41.922889000000005,47.613889,1,E01,area_block:BLOCK_01,5.690999999999999,scheduled,rolling_horizon_2d_interface_stub,3,P7,OUT1,P7__OUT1__path_1,SORT1__P7__path_1,P7__OUT1__path_1,
T02,AMR2,AMR2,3.824,3.824,14.295111,14.295111,0,,,0.0,scheduled,rolling_horizon_2d_interface_stub,1,P3,SORT2,P3__SORT2__path_1,IN2__P3__path_1,P3__SORT2__path_1,
T05,AMR2,AMR2,17.316111,23.316111,24.608333,30.608333,1,E02,amr_delay:AMR2,6.0,scheduled,rolling_horizon_2d_interface_stub,2,P6,OUT2,P6__OUT2__path_1,SORT2__P6__path_1,P6__OUT2__path_1,
T10,AMR2,AMR2,31.049333,37.049333000000004,42.127111,48.127111,1,E02,amr_delay:AMR2,6.0,scheduled,rolling_horizon_2d_interface_stub,3,P5,OUT1,P5__OUT1__path_1,OUT2__P5__path_1,P5__OUT1__path_1,
T01,AMR3,AMR3,2.747778,2.747778,14.671235,14.671235,0,,,0.0,scheduled,rolling_horizon_2d_interface_stub,1,P1,SORT1,P1__SORT1__path_1,CHG1__P1__path_1,P1__SORT1__path_1,
T12,AMR3,AMR3,18.0,18.0,24.279012,24.279012,0,,,0.0,scheduled,rolling_horizon_2d_interface_stub,2,P8,OUT1,P8__OUT1__path_1,SORT1__P8__path_1,P8__OUT1__path_1,
T08,AMR3,AMR3,32.671234,32.671234,40.823086,40.823086,0,,,0.0,scheduled,rolling_horizon_2d_interface_stub,3,P9,SORT2,P9__SORT2__path_1,OUT1__P9__path_1,P9__SORT2__path_1,
T04,AMR4,AMR4,4.0,4.0,8.386869,8.386869,0,,,0.0,scheduled,rolling_horizon_2d_interface_stub,1,P8,SORT2,P8__SORT2__path_1,CHG2__P8__path_1,P8__SORT2__path_1,
T09,AMR4,AMR4,15.286869,15.286869,23.688889000000003,23.688889000000003,0,,,0.0,scheduled,rolling_horizon_2d_interface_stub,2,P4,SORT1,P4__SORT1__path_1,SORT2__P4__path_1,P4__SORT1__path_1,
T11,AMR4,AMR4,30.789798000000005,30.789798000000005,42.250404,42.250404,0,,,0.0,scheduled,rolling_horizon_2d_interface_stub,3,P3,OUT2,P3__OUT2__path_1,SORT1__P3__path_1,P3__OUT2__path_1,
T13,,AMR3,,40.823086,,42.823086,1,E03,new_task_insert_stub,0.0,new_task_inserted_stub,rolling_horizon_2d_interface_stub,4,P4,SORT2,,,,new dynamic task inserted with placeholder logic
