amr_id,task_id,sequence_order,segment_type,path_uid,sample_index,absolute_time,offset_time,x,y,theta,speed,footprint_radius
AMR1,T06,1,transition,vg::IN1__P2__path_1,0,0.0,0.0,0.0,1.0,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,0,0.0,0.0,0.0,5.0,0.069719,1.0,0.25
AMR3,T01,1,transition,vg::CHG1__P1__path_1,0,0.0,0.0,1.0,0.0,0.447356,0.9000000000000001,0.25
AMR4,T04,1,transition,vg::CHG2__P8__path_1,0,0.0,0.0,9.0,0.0,1.647243,1.100000140008503,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,1,0.1,0.1,0.0824,1.0568,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,1,0.1,0.1,0.0998,5.007,0.069719,1.0,0.25
AMR3,T01,1,transition,vg::CHG1__P1__path_1,1,0.1,0.1,1.08118,0.03888,0.447356,0.9000000000000001,0.25
AMR4,T04,1,transition,vg::CHG2__P8__path_1,1,0.1,0.1,8.991639998935936,0.1097800139728486,1.647243,1.100000140008503,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,2,0.2,0.2,0.1648,1.1136,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,2,0.2,0.2,0.1996,5.014,0.069719,1.0,0.25
AMR3,T01,1,transition,vg::CHG1__P1__path_1,2,0.2,0.2,1.16236,0.07776,0.447356,0.9000000000000001,0.25
AMR4,T04,1,transition,vg::CHG2__P8__path_1,2,0.2,0.2,8.98327999787187,0.2195600279456973,1.647243,1.100000140008503,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,3,0.3,0.3,0.2472,1.1704,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,3,0.3,0.3,0.2994,5.021,0.069719,1.0,0.25
AMR3,T01,1,transition,vg::CHG1__P1__path_1,3,0.3,0.3,1.24354,0.11664,0.447356,0.9000000000000001,0.25
AMR4,T04,1,transition,vg::CHG2__P8__path_1,3,0.3,0.3,8.974919996807806,0.329340041918546,1.647243,1.100000140008503,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,4,0.4,0.4,0.3296,1.2272,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,4,0.4,0.4,0.3992,5.0280000000000005,0.069719,1.0,0.25
AMR3,T01,1,transition,vg::CHG1__P1__path_1,4,0.4,0.4,1.32472,0.15552,0.447356,0.9000000000000001,0.25
AMR4,T04,1,transition,vg::CHG2__P8__path_1,4,0.4,0.4,8.966559995743742,0.4391200558913946,1.647243,1.100000140008503,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,5,0.5,0.5,0.412,1.284,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,5,0.5,0.5,0.499,5.035,0.069719,1.0,0.25
AMR3,T01,1,transition,vg::CHG1__P1__path_1,5,0.5,0.5,1.4059,0.1944,0.447356,0.9000000000000001,0.25
AMR4,T04,1,transition,vg::CHG2__P8__path_1,5,0.5,0.5,8.958199994679676,0.5488000697242347,1.647243,1.100000140008503,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,6,0.6,0.6,0.4944,1.3406,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,6,0.6,0.6,0.5988000000000001,5.042,0.069719,1.0,0.25
AMR3,T01,1,transition,vg::CHG1__P1__path_1,6,0.6,0.6,1.4870800000000002,0.23336,0.447356,0.9000000000000001,0.25
AMR4,T04,1,transition,vg::CHG2__P8__path_1,6,0.6,0.6,8.949839993615612,0.6583600836690817,1.647243,1.100000140008503,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,7,0.7,0.7,0.5768,1.3972,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,7,0.7,0.7,0.6986000000000001,5.049,0.069719,1.0,0.25
AMR3,T01,1,transition,vg::CHG1__P1__path_1,7,0.7,0.7,1.5682600000000002,0.27242,0.447356,0.9000000000000001,0.25
AMR4,T04,1,transition,vg::CHG2__P8__path_1,7,0.7,0.7,8.941479992551548,0.7679200976139287,1.647243,1.100000140008503,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,8,0.8,0.8,0.6592,1.4538,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,8,0.8,0.8,0.7984,5.056,0.069719,1.0,0.25
AMR3,T01,1,transition,vg::CHG1__P1__path_1,8,0.8,0.8,1.6494400000000002,0.3114800000000001,0.447356,0.9000000000000001,0.25
AMR4,T04,1,transition,vg::CHG2__P8__path_1,8,0.8,0.8,8.933119991487482,0.8774801115587756,1.647243,1.100000140008503,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,9,0.9,0.9,0.7416,1.5104,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,9,0.9,0.9,0.8982,5.063000000000001,0.069719,1.0,0.25
AMR3,T01,1,transition,vg::CHG1__P1__path_1,9,0.9,0.9,1.73062,0.3505400000000001,0.447356,0.9000000000000001,0.25
AMR4,T04,1,transition,vg::CHG2__P8__path_1,9,0.9,0.9,8.924759990423418,0.9870401255036224,1.647243,1.100000140008503,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,10,1.0,1.0,0.824,1.567,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,10,1.0,1.0,0.998,5.07,0.069719,1.0,0.25
AMR3,T01,1,transition,vg::CHG1__P1__path_1,10,1.0,1.0,1.8118,0.3896,0.447356,0.9000000000000001,0.25
AMR4,T04,1,transition,vg::CHG2__P8__path_1,10,1.0,1.0,8.916199989079336,1.0968001397284863,1.647243,1.100000140008503,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,11,1.1,1.1,0.9062,1.6238,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,11,1.1,1.1,1.0976,5.0768,0.069719,1.0,0.25
AMR3,T01,1,transition,vg::CHG1__P1__path_1,11,1.1,1.1,1.89298,0.4286600000000001,0.447356,0.9000000000000001,0.25
AMR4,T04,1,transition,vg::CHG2__P8__path_1,11,1.1,1.1,8.90761998798727,1.2065801537013352,1.647243,1.100000140008503,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,12,1.2,1.2,0.9884000000000002,1.6806,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,12,1.2,1.2,1.1972000000000005,5.083600000000001,0.069719,1.0,0.25
AMR3,T01,1,transition,vg::CHG1__P1__path_1,12,1.2,1.2,1.974,0.4675600000000001,0.447356,0.9000000000000001,0.25
AMR4,T04,1,transition,vg::CHG2__P8__path_1,12,1.2,1.2,8.899039986895204,1.3163601676741838,1.647243,1.100000140008503,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,13,1.3,1.3,1.0706,1.7374,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,13,1.3,1.3,1.2968000000000002,5.0904,0.069719,1.0,0.25
AMR3,T01,1,transition,vg::CHG1__P1__path_1,13,1.3,1.3,2.055,0.5064400000000001,0.447356,0.9000000000000001,0.25
AMR4,T04,1,transition,vg::CHG2__P8__path_1,13,1.3,1.3,8.890459985803137,1.4261401816470325,1.647243,1.100000140008503,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,14,1.4,1.4,1.1528,1.7942,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,14,1.4,1.4,1.3964,5.0972,0.069719,1.0,0.25
AMR3,T01,1,transition,vg::CHG1__P1__path_1,14,1.4,1.4,2.136,0.5453200000000001,0.447356,0.9000000000000001,0.25
AMR4,T04,1,transition,vg::CHG2__P8__path_1,14,1.4,1.4,8.881959985103094,1.5358401952278573,1.647243,1.100000140008503,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,15,1.5,1.5,1.235,1.851,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,15,1.5,1.5,1.496,5.104,0.069719,1.0,0.25
AMR3,T01,1,transition,vg::CHG1__P1__path_1,15,1.5,1.5,2.217,0.5842,0.447356,0.9000000000000001,0.25
AMR4,T04,1,transition,vg::CHG2__P8__path_1,15,1.5,1.5,8.87359998403903,1.6454002091727042,1.647243,1.100000140008503,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,16,1.6,1.6,1.3174,1.9076,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,16,1.6,1.6,1.5958,5.111,0.069719,1.0,0.25
AMR3,T01,1,transition,vg::CHG1__P1__path_1,16,1.6,1.6,2.298,0.6230800000000001,0.447356,0.9000000000000001,0.25
AMR4,T04,1,transition,vg::CHG2__P8__path_1,16,1.6,1.6,8.865239982974966,1.7549602231175512,1.647243,1.100000140008503,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,17,1.7,1.7,1.3998000000000002,1.9642,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,17,1.7,1.7,1.6956000000000002,5.118,0.069719,1.0,0.25
AMR3,T01,1,transition,vg::CHG1__P1__path_1,17,1.7,1.7,2.37906,0.6619600000000001,0.447356,0.9000000000000001,0.25
AMR4,T04,1,transition,vg::CHG2__P8__path_1,17,1.7,1.7,8.8568799819109,1.8645202370623983,1.647243,1.100000140008503,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,18,1.8,1.8,1.4822000000000002,2.0208,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,18,1.8,1.8,1.7954,5.125,0.069719,1.0,0.25
AMR3,T01,1,transition,vg::CHG1__P1__path_1,18,1.8,1.8,2.46024,0.7008400000000001,0.447356,0.9000000000000001,0.25
AMR4,T04,1,transition,vg::CHG2__P8__path_1,18,1.8,1.8,8.848519980846836,1.974080251007245,1.647243,1.100000140008503,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,19,1.9,1.9,1.5646000000000002,2.0774,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,19,1.9,1.9,1.8952,5.132000000000001,0.069719,1.0,0.25
AMR3,T01,1,transition,vg::CHG1__P1__path_1,19,1.9,1.9,2.54142,0.7397200000000002,0.447356,0.9000000000000001,0.25
AMR4,T04,1,transition,vg::CHG2__P8__path_1,19,1.9,1.9,8.840193257192055,2.083748164430677,1.647243,1.100000140008503,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,20,2.0,2.0,1.647,2.134,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,20,2.0,2.0,1.995,5.139,0.069719,1.0,0.25
AMR3,T01,1,transition,vg::CHG1__P1__path_1,20,2.0,2.0,2.6226000000000003,0.7786000000000001,0.447356,0.9000000000000001,0.25
AMR4,T04,1,transition,vg::CHG2__P8__path_1,20,2.0,2.0,8.831873928402075,2.193440055143009,1.647243,1.100000140008503,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,21,2.1,2.1,1.7294,2.1908,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,21,2.1,2.1,2.0948,5.146,0.069719,1.0,0.25
AMR3,T01,1,transition,vg::CHG1__P1__path_1,21,2.1,2.1,2.70378,0.8174800000000002,0.447356,0.9000000000000001,0.25
AMR4,T04,1,transition,vg::CHG2__P8__path_1,21,2.1,2.1,8.823554599612095,2.303131945855342,1.647243,1.100000140008503,0.25
AMR4,T04,1,wait_at_pickup,stationary::P8,0,2.143,0.0,8.85,2.35,-1.570796,0.0,0.25
AMR4,T04,1,transition,vg::CHG2__P8__path_1,22,2.143,2.143,8.82,2.35,1.647243,1.100000140008503,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,22,2.2,2.2,1.8118000000000003,2.2476000000000003,0.602983,1.0,0.25
AMR2,T02,1,transition,vg::IN2__P3__path_1,22,2.2,2.2,2.1946000000000003,5.1530000000000005,0.069719,1.0,0.25
AMR3,T01,1,transition,vg::CHG1__P1__path_1,22,2.2,2.2,2.7849600000000003,0.8563600000000002,0.447356,0.9000000000000001,0.25
AMR4,T04,1,wait_at_pickup,stationary::P8,1,2.243,0.1,8.85,2.35,-1.570796,0.0,0.25
