task_id,old_amr,new_amr,old_start,new_start,old_finish,new_finish,changed,sequence_order,affected_event_ids
T06,AMR1,AMR1,6.0,6.0,14.571111,14.571111,0,1,
T03,AMR1,AMR1,19.280111,19.280111,27.512333,27.512333,0,2,
T07,AMR1,AMR1,31.272333,31.272333,40.293444,40.293444,0,3,
T02,AMR2,AMR2,3.589,3.589,18.162333,18.162333,0,1,
T05,AMR2,AMR2,21.101333,32.939,27.972444,39.810111,1,2,E02
T10,AMR2,AMR2,34.353444,51.191111,44.840111,61.677778,1,3,E02;E03
T01,AMR3,AMR3,2.44,2.44,18.580741,18.580741,0,1,
T09,AMR3,AMR3,25.871852,25.871852,35.973087,35.973087,0,2,
T12,AMR3,AMR3,36.995309,36.995309,42.944692,42.944692,0,3,
T04,AMR4,AMR4,4.0,4.0,8.317172,8.317172,0,1,
T08,AMR4,AMR4,12.966263,12.966263,28.13192,28.13192,0,2,
T13,,AMR4,,34.44192,,43.453031,1,3,E03
T11,AMR4,AMR4,35.146465,50.467577,46.59697,61.918082,1,4,E03
