cell_x,cell_y,count
0.0,1.0,13
0.0,5.0,11
1.0,0.0,13
1.0,1.0,5
1.0,2.0,7
1.0,5.0,10
2.0,0.0,37
2.0,2.0,11
2.0,3.0,1
2.0,5.0,10
3.0,0.0,17
3.0,3.0,10
3.0,4.0,34
3.0,5.0,58
4.0,0.0,12
4.0,1.0,29
4.0,2.0,39
4.0,3.0,5
4.0,4.0,30
5.0,0.0,49
5.0,1.0,1
5.0,2.0,11
5.0,4.0,152
6.0,0.0,36
6.0,2.0,12
6.0,3.0,21
6.0,4.0,166
6.0,5.0,23
7.0,0.0,59
7.0,1.0,33
7.0,3.0,46
7.0,4.0,60
7.0,5.0,23
8.0,0.0,75
8.0,1.0,9
8.0,2.0,77
8.0,3.0,47
8.0,4.0,59
8.0,5.0,24
9.0,0.0,16
9.0,1.0,95
9.0,2.0,84
9.0,3.0,13
9.0,4.0,73
9.0,5.0,11
10.0,1.0,13
10.0,2.0,25
10.0,3.0,5
10.0,4.0,57
11.0,1.0,12
11.0,2.0,23
11.0,4.0,32
12.0,1.0,1
12.0,2.0,2
12.0,4.0,3
