run_id,method,p1_algorithm,task_count,amr_count,solve_time,missing_transition_count,missing_loaded_path_count,energy_violation_count,priority_late_count,late_count,priority_delay,total_delay,Cmax,empty_cost,loaded_cost,total_energy_used,total_waiting,load_balance_penalty,F2,F3,solver_info,case_tasks_csv,case_amrs_csv,case_output_dir
stage2_m2_m2,m2,mixed,12,2,119.532,0,0,0,5.0,4.0,157.199444,124.593222,84.606222,68.41,81.119,148.8528,0.0,4.948,7630.878889,335.1528,"{""level_values"": {""missing"": 0, ""f1_priority_late"": 5.0, ""f1_late"": 4.0, ""f2"": 7630.87887, ""f3"": 335.15278}, ""level_status"": {""missing"": ""skipped_at_lower_bound"", ""f1_priority_late"": ""Solution Found"", ""f1_late"": ""Solution Found"", ""f2"": ""Solution Found"", ""f3"": ""Solution Found""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""milp"", ""solve_seconds"": 119.531}",data/processed/p5/stage2_amr_marginal/stage2_inputs/amr_2/tasks.csv,data/processed/p5/stage2_amr_marginal/stage2_inputs/amr_2/amrs.csv,data/processed/p5/stage2_amr_marginal/stage2_p2_outputs/m2_amr_2
stage2_m3_m2,m3,mixed,12,2,0.08,0,0,0,5.0,4.0,157.199444,124.593222,84.606222,68.41,81.119,148.8528,0.0,4.948,7630.878889,335.1528,"{""solve_seconds"": 0.08, ""local_search_iterations"": 4}",data/processed/p5/stage2_amr_marginal/stage2_inputs/amr_2/tasks.csv,data/processed/p5/stage2_amr_marginal/stage2_inputs/amr_2/amrs.csv,data/processed/p5/stage2_amr_marginal/stage2_p2_outputs/m3_amr_2
stage2_m2_m3,m2,mixed,12,3,116.747,0,0,0,1.0,1.0,11.802333,11.802333,59.802333,62.722,81.119,144.6648,0.097,8.200667,889.128333,352.115467,"{""level_values"": {""missing"": 0, ""f1_priority_late"": 1.0, ""f1_late"": 1.0, ""f2"": 889.128315, ""f3"": 348.13213}, ""level_status"": {""missing"": ""skipped_at_lower_bound"", ""f1_priority_late"": ""Solution Found"", ""f1_late"": ""Solution Found"", ""f2"": ""Solution Found"", ""f3"": ""Solution Found""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""milp"", ""solve_seconds"": 116.747}",data/processed/p5/stage2_amr_marginal/stage2_inputs/amr_3/tasks.csv,data/processed/p5/stage2_amr_marginal/stage2_inputs/amr_3/amrs.csv,data/processed/p5/stage2_amr_marginal/stage2_p2_outputs/m2_amr_3
stage2_m3_m3,m3,mixed,12,3,0.069,0,0,0,1.0,1.0,11.802333,11.802333,59.802333,62.722,81.119,144.6648,0.097,8.200667,889.128333,352.115467,"{""solve_seconds"": 0.069, ""local_search_iterations"": 1}",data/processed/p5/stage2_amr_marginal/stage2_inputs/amr_3/tasks.csv,data/processed/p5/stage2_amr_marginal/stage2_inputs/amr_3/amrs.csv,data/processed/p5/stage2_amr_marginal/stage2_p2_outputs/m3_amr_3
stage2_m2_m4,m2,mixed,12,4,57.783,0,0,0,0.0,0.0,0.0,0.0,40.840111,58.646,81.119,141.0888,1.954273,2.243141,204.200556,280.812214,"{""level_values"": {""missing"": 0, ""f1_priority_late"": 0.0, ""f1_late"": 0.0, ""f2"": 204.200555, ""f3"": 258.3808}, ""level_status"": {""missing"": ""skipped_at_lower_bound"", ""f1_priority_late"": ""skipped_at_lower_bound"", ""f1_late"": ""skipped_at_lower_bound"", ""f2"": ""Solution Found"", ""f3"": ""Solution Found""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""milp"", ""solve_seconds"": 57.783}",data/processed/p5/stage2_amr_marginal/stage2_inputs/amr_4/tasks.csv,data/processed/p5/stage2_amr_marginal/stage2_inputs/amr_4/amrs.csv,data/processed/p5/stage2_amr_marginal/stage2_p2_outputs/m2_amr_4
stage2_m3_m4,m3,mixed,12,4,0.082,0,0,0,0.0,0.0,0.0,0.0,40.840111,58.646,81.119,141.0888,1.954273,2.243141,204.200556,280.812214,"{""solve_seconds"": 0.082, ""local_search_iterations"": 3}",data/processed/p5/stage2_amr_marginal/stage2_inputs/amr_4/tasks.csv,data/processed/p5/stage2_amr_marginal/stage2_inputs/amr_4/amrs.csv,data/processed/p5/stage2_amr_marginal/stage2_p2_outputs/m3_amr_4
stage2_m2_m5,m2,mixed,12,5,57.457,0,0,0,0.0,0.0,0.0,0.0,34.189222,58.389,81.119,141.3318,8.604545,1.39003,170.946111,272.010103,"{""level_values"": {""missing"": 0, ""f1_priority_late"": 0.0, ""f1_late"": 0.0, ""f2"": 170.94611, ""f3"": 258.1098}, ""level_status"": {""missing"": ""skipped_at_lower_bound"", ""f1_priority_late"": ""skipped_at_lower_bound"", ""f1_late"": ""skipped_at_lower_bound"", ""f2"": ""Solution Found"", ""f3"": ""Solution Found""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""milp"", ""solve_seconds"": 57.456}",data/processed/p5/stage2_amr_marginal/stage2_inputs/amr_5/tasks.csv,data/processed/p5/stage2_amr_marginal/stage2_inputs/amr_5/amrs.csv,data/processed/p5/stage2_amr_marginal/stage2_p2_outputs/m2_amr_5
stage2_m3_m5,m3,mixed,12,5,0.152,0,0,0,0.0,0.0,0.0,0.0,34.189222,58.389,81.119,141.3318,8.604545,1.39003,170.946111,272.010103,"{""solve_seconds"": 0.152, ""local_search_iterations"": 6}",data/processed/p5/stage2_amr_marginal/stage2_inputs/amr_5/tasks.csv,data/processed/p5/stage2_amr_marginal/stage2_inputs/amr_5/amrs.csv,data/processed/p5/stage2_amr_marginal/stage2_p2_outputs/m3_amr_5
stage2_m2_m6,m2,mixed,12,6,56.886,0,0,0,0.0,0.0,0.0,0.0,29.129889,57.45,84.892,142.5204,9.481444,2.242111,145.649444,279.841511,"{""level_values"": {""missing"": 0, ""f1_priority_late"": 0.0, ""f1_late"": 0.0, ""f2"": 145.649445, ""f3"": 255.2928}, ""level_status"": {""missing"": ""skipped_at_lower_bound"", ""f1_priority_late"": ""skipped_at_lower_bound"", ""f1_late"": ""skipped_at_lower_bound"", ""f2"": ""Solution Found"", ""f3"": ""Solution Found""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""warm_start_fallback"", ""solve_seconds"": 56.885}",data/processed/p5/stage2_amr_marginal/stage2_inputs/amr_6/tasks.csv,data/processed/p5/stage2_amr_marginal/stage2_inputs/amr_6/amrs.csv,data/processed/p5/stage2_amr_marginal/stage2_p2_outputs/m2_amr_6
stage2_m3_m6,m3,mixed,12,6,0.115,0,0,0,0.0,0.0,0.0,0.0,29.129889,57.45,84.892,142.5204,9.481444,2.242111,145.649444,279.841511,"{""solve_seconds"": 0.115, ""local_search_iterations"": 4}",data/processed/p5/stage2_amr_marginal/stage2_inputs/amr_6/tasks.csv,data/processed/p5/stage2_amr_marginal/stage2_inputs/amr_6/amrs.csv,data/processed/p5/stage2_amr_marginal/stage2_p2_outputs/m3_amr_6
