method,amr_count,amr_id,task_count,finish_time,delay,energy_used,battery_end,finish_share
m2,2,AMR1,6,84.606222,65.129889,76.6072,13.3928,1.0
m2,2,AMR2,6,79.658222,59.463333,72.2456,12.7544,0.941517
m2,3,AMR1,4,51.601667,0.0,47.0556,42.9444,0.86287
m2,3,AMR2,4,59.802333,11.802333,54.089,30.911,1.0
m2,3,AMR3,4,53.188272,0.0,43.5202,56.4798,0.889401
m2,4,AMR1,3,40.293444,0.0,35.2224,54.7776,0.986614
m2,4,AMR2,3,40.840111,0.0,36.9146,48.0854,1.0
m2,4,AMR3,3,38.944691,0.0,32.448,67.552,0.953589
m2,4,AMR4,3,38.59697,0.0,36.5038,43.4962,0.945075
m2,5,AMR1,2,34.189222,0.0,32.551,57.449,1.0
m2,5,AMR2,3,33.569,0.0,29.3578,55.6422,0.981859
m2,5,AMR3,2,32.824691,0.0,27.8512,72.1488,0.960089
m2,5,AMR4,3,32.799192,0.0,24.2494,55.7506,0.959343
m2,5,AMR5,2,32.868889,0.0,27.3224,62.6776,0.961382
m2,6,AMR1,2,27.485222,0.0,25.2612,64.7388,0.94354
m2,6,AMR2,2,26.958556,0.0,24.899,60.101,0.92546
m2,6,AMR3,2,29.07284,0.0,18.0602,81.9398,0.998042
m2,6,AMR4,2,27.450505,0.0,24.853,55.147,0.942348
m2,6,AMR5,2,26.887778,0.0,24.0996,65.9004,0.923031
m2,6,AMR6,2,29.129889,0.0,25.3474,64.6526,1.0
