task_id,pickup,delivery,service_time,earliest_start,latest_finish,priority
T01,P1,SORT1,2,0,25,2
T02,P3,SORT2,2,0,28,2
T03,P5,SORT1,3,2,32,1
T04,P8,SORT2,2,4,35,3
T05,P6,OUT2,2,5,38,2
T06,P2,SORT1,2,6,36,1
T07,P7,OUT1,3,8,42,2
T08,P9,SORT2,2,10,45,3
T09,P4,SORT1,2,12,48,1
T10,P5,OUT1,3,14,50,2
T11,P3,OUT2,2,16,52,2
T12,P8,OUT1,2,18,55,3
T13,P3,SORT1,2,19,44,3
T14,P5,SORT2,2,20,48,2
T15,P6,SORT1,2,20,49,3
T16,P9,SORT1,3,20,45,3
T17,P8,SORT2,2,20,55,1
T18,P9,SORT1,3,23,52,2
T19,P1,SORT2,3,26,61,1
T20,P8,SORT2,3,27,59,1
T21,P1,SORT2,3,29,69,2
