n,seed_count,Cmax_min,Cmax_median,Cmax_max,Cmax_mean,total_delay_median,late_count_median,feasible_all,capacity_satisfied_all,capacity_satisfied_seed_count,violating_seed_count,forward_delta_Cmax,elasticity
1,3,14.106667,14.106667,14.106667,14.106667,0.0,0.0,1,1,3,0,0.055666,0.003946
2,3,14.162333,14.162333,14.162333,14.162333,0.0,0.0,1,1,3,0,0.0,0.0
3,3,14.162333,14.162333,14.162333,14.162333,0.0,0.0,1,1,3,0,0.561889,0.119025
4,3,14.724222,14.724222,14.724222,14.724222,0.0,0.0,1,1,3,0,2.693051,0.731597
5,3,17.417273,17.417273,17.417273,17.417273,0.0,0.0,1,1,3,0,6.086666,1.747307
6,3,23.503939,23.503939,23.503939,23.503939,0.0,0.0,1,1,3,0,1.760909,0.449518
7,3,25.264848,25.264848,25.264848,25.264848,0.0,0.0,1,1,3,0,1.62293,0.449657
8,3,26.887778,26.887778,26.887778,26.887778,0.0,0.0,1,1,3,0,3.072,0.914021
9,3,29.959778,29.959778,29.959778,29.959778,0.0,0.0,1,1,3,0,6.808889,2.045409
10,3,36.768667,36.768667,36.768667,36.768667,0.0,0.0,1,1,3,0,4.071444,1.107313
11,3,40.840111,40.840111,40.840111,40.840111,0.0,0.0,1,1,3,0,0.0,0.0
12,3,40.840111,40.840111,40.840111,40.840111,0.0,0.0,1,1,3,0,4.883889,1.435027
13,3,44.92716,45.724,45.724,45.458387,0.0,0.0,1,1,3,0,4.20242,1.194809
14,3,49.839889,49.92642,50.464815,50.077041,0.0,0.0,1,1,3,0,6.141802,1.722239
15,3,51.536889,56.068222,58.344747,55.316619,5.344747,1.0,1,0,1,2,3.654445,0.977678
16,3,55.51202,59.722667,66.559,60.597896,27.178136,2.0,1,0,0,3,6.959444,1.86447
17,3,58.554667,66.682111,67.099889,64.112222,31.189741,2.0,1,0,0,3,-0.260889,-0.066511
18,3,63.556667,66.421222,73.666667,67.881519,45.587,3.0,1,0,0,3,2.581889,0.699686
19,3,66.143838,69.003111,83.545667,72.897539,39.443091,3.0,1,0,0,3,4.84479,1.334012
20,3,72.735333,73.847901,83.545667,76.709634,47.933336,3.0,1,0,0,3,6.677531,1.808455
21,3,73.946111,80.525432,81.33642,78.602654,83.460605,3.0,1,0,0,3,1.662901,0.433663
22,3,81.532667,82.188333,97.073333,86.931444,90.678988,4.0,1,0,0,3,9.315741,2.493618
23,3,90.696296,91.504074,105.671975,95.957448,128.393185,4.0,1,0,0,3,4.970864,1.249451
24,3,94.978395,96.474938,96.915062,96.122798,147.961198,5.0,0,0,0,3,7.007655,1.743289
25,3,97.240123,103.482593,103.612963,101.445226,176.153022,6.0,0,0,0,3,9.026851,2.180766
26,3,106.253951,112.509444,113.444333,110.735909,263.350915,7.0,0,0,0,3,-5.70895,-1.319291
27,3,98.979383,106.800494,129.526173,111.768683,228.352389,7.0,0,0,0,3,1.557531,0.393756
28,3,103.947556,108.358025,112.998889,108.434823,252.790687,7.0,0,0,0,3,-1.431762,-0.369971
29,3,103.926173,106.926263,110.704242,107.185559,257.236952,7.0,0,0,0,3,7.942515,2.154129
30,3,108.954321,114.868778,125.454444,116.425848,339.53371,8.0,0,0,0,3,,
