run_id,seed,n,method,p1_algorithm,amr_count,H,Cmax,total_delay,late_count,priority_late_count,missing_path_count,missing_transition_count,missing_loaded_path_count,energy_violation_count,solve_time,feasible,capacity_satisfied,F2,F3,case_tasks_csv,case_amrs_csv,case_output_dir,solver_info,source
stage3_m2_s0_n01,0,1,m2,mixed,4,55.0,14.106667,0.0,0,0.0,0,0,0,0,0.053,1,1,70.533333,160.263467,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_0/n_01/tasks.csv,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_0/n_01/amrs.csv,data/processed/p5/stage3_task_capacity/stage3_p2_outputs/m2_seed_0_n_01,"{""level_values"": {""missing"": 0, ""f1_priority_late"": 0.0, ""f1_late"": 0.0, ""f2"": 70.533335, ""f3"": 160.26347}, ""level_status"": {""missing"": ""skipped_at_lower_bound"", ""f1_priority_late"": ""skipped_at_lower_bound"", ""f1_late"": ""skipped_at_lower_bound"", ""f2"": ""Optimal Solution Found"", ""f3"": ""Optimal Solution Found""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""milp"", ""solve_seconds"": 0.053}",p5_stage3_self_run
stage3_m2_s0_n02,0,2,m2,mixed,4,55.0,14.162333,0.0,0,0.0,0,0,0,0,0.062,1,1,70.811667,181.246333,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_0/n_02/tasks.csv,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_0/n_02/amrs.csv,data/processed/p5/stage3_task_capacity/stage3_p2_outputs/m2_seed_0_n_02,"{""level_values"": {""missing"": 0, ""f1_priority_late"": 0.0, ""f1_late"": 0.0, ""f2"": 70.811665, ""f3"": 181.24633}, ""level_status"": {""missing"": ""skipped_at_lower_bound"", ""f1_priority_late"": ""skipped_at_lower_bound"", ""f1_late"": ""skipped_at_lower_bound"", ""f2"": ""Optimal Solution Found"", ""f3"": ""Optimal Solution Found""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""milp"", ""solve_seconds"": 0.062}",p5_stage3_self_run
stage3_m2_s0_n03,0,3,m2,mixed,4,55.0,14.162333,0.0,0,0.0,0,0,0,0,0.07,1,1,70.811667,208.031133,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_0/n_03/tasks.csv,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_0/n_03/amrs.csv,data/processed/p5/stage3_task_capacity/stage3_p2_outputs/m2_seed_0_n_03,"{""level_values"": {""missing"": 0, ""f1_priority_late"": 0.0, ""f1_late"": 0.0, ""f2"": 70.811665, ""f3"": 208.03113}, ""level_status"": {""missing"": ""skipped_at_lower_bound"", ""f1_priority_late"": ""skipped_at_lower_bound"", ""f1_late"": ""skipped_at_lower_bound"", ""f2"": ""Optimal Solution Found"", ""f3"": ""Optimal Solution Found""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""milp"", ""solve_seconds"": 0.07}",p5_stage3_self_run
stage3_m2_s0_n04,0,4,m2,mixed,4,55.0,14.724222,0.0,0,0.0,0,0,0,0,0.081,1,1,73.621111,139.292105,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_0/n_04/tasks.csv,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_0/n_04/amrs.csv,data/processed/p5/stage3_task_capacity/stage3_p2_outputs/m2_seed_0_n_04,"{""level_values"": {""missing"": 0, ""f1_priority_late"": 0.0, ""f1_late"": 0.0, ""f2"": 73.62111, ""f3"": 75.2216}, ""level_status"": {""missing"": ""skipped_at_lower_bound"", ""f1_priority_late"": ""skipped_at_lower_bound"", ""f1_late"": ""skipped_at_lower_bound"", ""f2"": ""Optimal Solution Found"", ""f3"": ""Optimal Solution Found""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""milp"", ""solve_seconds"": 0.081}",p5_stage3_self_run
stage3_m2_s0_n05,0,5,m2,mixed,4,55.0,17.417273,0.0,0,0.0,0,0,0,0,0.184,1,1,87.086364,123.248794,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_0/n_05/tasks.csv,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_0/n_05/amrs.csv,data/processed/p5/stage3_task_capacity/stage3_p2_outputs/m2_seed_0_n_05,"{""level_values"": {""missing"": 0, ""f1_priority_late"": 0.0, ""f1_late"": 0.0, ""f2"": 87.086365, ""f3"": 90.6994}, ""level_status"": {""missing"": ""skipped_at_lower_bound"", ""f1_priority_late"": ""skipped_at_lower_bound"", ""f1_late"": ""skipped_at_lower_bound"", ""f2"": ""Optimal Solution Found"", ""f3"": ""Optimal Solution Found""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""milp"", ""solve_seconds"": 0.184}",p5_stage3_self_run
stage3_m2_s0_n06,0,6,m2,mixed,4,55.0,23.503939,0.0,0,0.0,0,0,0,0,6.417,1,1,117.519697,202.035261,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_0/n_06/tasks.csv,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_0/n_06/amrs.csv,data/processed/p5/stage3_task_capacity/stage3_p2_outputs/m2_seed_0_n_06,"{""level_values"": {""missing"": 0, ""f1_priority_late"": 0.0, ""f1_late"": 0.0, ""f2"": 117.519695, ""f3"": 116.0542}, ""level_status"": {""missing"": ""skipped_at_lower_bound"", ""f1_priority_late"": ""skipped_at_lower_bound"", ""f1_late"": ""skipped_at_lower_bound"", ""f2"": ""Optimal Solution Found"", ""f3"": ""Optimal Solution Found""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""warm_start_fallback"", ""solve_seconds"": 6.417}",p5_stage3_self_run
stage3_m2_s0_n07,0,7,m2,mixed,4,55.0,25.264848,0.0,0,0.0,0,0,0,0,28.846,1,1,126.324242,211.795739,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_0/n_07/tasks.csv,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_0/n_07/amrs.csv,data/processed/p5/stage3_task_capacity/stage3_p2_outputs/m2_seed_0_n_07,"{""level_values"": {""missing"": 0, ""f1_priority_late"": 0.0, ""f1_late"": 0.0, ""f2"": 126.32424, ""f3"": 133.035}, ""level_status"": {""missing"": ""skipped_at_lower_bound"", ""f1_priority_late"": ""skipped_at_lower_bound"", ""f1_late"": ""skipped_at_lower_bound"", ""f2"": ""Optimal Solution Found"", ""f3"": ""Optimal Solution Found""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""warm_start_fallback"", ""solve_seconds"": 28.845}",p5_stage3_self_run
stage3_m2_s0_n08,0,8,m2,mixed,4,55.0,26.887778,0.0,0,0.0,0,0,0,0,36.46,1,1,134.438889,213.097911,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_0/n_08/tasks.csv,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_0/n_08/amrs.csv,data/processed/p5/stage3_task_capacity/stage3_p2_outputs/m2_seed_0_n_08,"{""level_values"": {""missing"": 0, ""f1_priority_late"": 0.0, ""f1_late"": 0.0, ""f2"": 134.43889, ""f3"": 157.0868}, ""level_status"": {""missing"": ""skipped_at_lower_bound"", ""f1_priority_late"": ""skipped_at_lower_bound"", ""f1_late"": ""skipped_at_lower_bound"", ""f2"": ""Solution Found"", ""f3"": ""Optimal Solution Found""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""milp"", ""solve_seconds"": 36.46}",p5_stage3_self_run
stage3_m2_s0_n09,0,9,m2,mixed,4,55.0,29.959778,0.0,0,0.0,0,0,0,0,54.394,1,1,149.798889,213.600422,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_0/n_09/tasks.csv,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_0/n_09/amrs.csv,data/processed/p5/stage3_task_capacity/stage3_p2_outputs/m2_seed_0_n_09,"{""level_values"": {""missing"": 0, ""f1_priority_late"": 0.0, ""f1_late"": 0.0, ""f2"": 151.97222, ""f3"": 184.9482}, ""level_status"": {""missing"": ""skipped_at_lower_bound"", ""f1_priority_late"": ""skipped_at_lower_bound"", ""f1_late"": ""skipped_at_lower_bound"", ""f2"": ""Solution Found"", ""f3"": ""Optimal Solution Found""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""milp"", ""solve_seconds"": 54.393}",p5_stage3_self_run
stage3_m2_s0_n10,0,10,m2,mixed,4,55.0,36.768667,0.0,0,0.0,0,0,0,0,59.166,1,1,183.843333,251.502941,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_0/n_10/tasks.csv,data/processed/p5/stage3_task_capacity/stage3_inputs/seed_0/n_10/amrs.csv,data/processed/p5/stage3_task_capacity/stage3_p2_outputs/m2_seed_0_n_10,"{""level_values"": {""missing"": 0, ""f1_priority_late"": 0.0, ""f1_late"": 0.0, ""f2"": 183.843335, ""f3"": 225.55547}, ""level_status"": {""missing"": ""skipped_at_lower_bound"", ""f1_priority_late"": ""skipped_at_lower_bound"", ""f1_late"": ""skipped_at_lower_bound"", ""f2"": ""Solution Found"", ""f3"": ""Solution Found""}, ""level_order"": [""missing"", ""f1_priority_late"", ""f1_late"", ""f2"", ""f3""], ""solution_source"": ""milp"", ""solve_seconds"": 59.166}",p5_stage3_self_run
