cell_id,cell_x,cell_y,center_x,center_y,occ_score,conflict_score,wait_score,delay_score,p4_occ_score,z_occ,z_conflict,z_wait,z_delay,screening_score
"0,1",0,1,0.5,1.5,14.0,1.0,24.1,0.748151,2.0,0.779548,2.886751,1.943341,-0.602802,1.553494
"0,5",0,5,0.5,5.5,2.0,0.0,0.0,0.0,2.0,-0.738876,-0.34641,-0.311803,-0.807774,-0.503349
"1,0",1,0,1.5,0.5,2.0,0.0,0.0,0.0,2.0,-0.738876,-0.34641,-0.311803,-0.807774,-0.503349
"1,1",1,1,1.5,1.5,1.0,0.0,0.0,0.748151,1.0,-0.865411,-0.34641,-0.311803,-0.602802,-0.504237
"1,2",1,2,1.5,2.5,2.0,0.0,0.0,0.748151,2.0,-0.738876,-0.34641,-0.311803,-0.602802,-0.472603
"1,5",1,5,1.5,5.5,2.0,0.0,0.0,0.0,2.0,-0.738876,-0.34641,-0.311803,-0.807774,-0.503349
"2,0",2,0,2.5,0.5,4.0,0.0,0.0,0.0,4.0,-0.485805,-0.34641,-0.311803,-0.807774,-0.440081
"2,2",2,2,2.5,2.5,2.0,0.0,0.0,0.748151,2.0,-0.738876,-0.34641,-0.311803,-0.602802,-0.472603
"2,3",2,3,2.5,3.5,1.0,0.0,0.0,0.748151,1.0,-0.865411,-0.34641,-0.311803,-0.602802,-0.504237
"2,5",2,5,2.5,5.5,2.0,0.0,0.0,0.0,2.0,-0.738876,-0.34641,-0.311803,-0.807774,-0.503349
"3,0",3,0,3.5,0.5,3.0,0.0,0.0,0.0,3.0,-0.612341,-0.34641,-0.311803,-0.807774,-0.471715
"3,3",3,3,3.5,3.5,2.0,0.0,0.0,0.748151,2.0,-0.738876,-0.34641,-0.311803,-0.602802,-0.472603
"3,4",3,4,3.5,4.5,12.0,0.0,0.0,2.345268,7.0,0.526477,-0.34641,-0.311803,-0.165239,-0.090631
"3,5",3,5,3.5,5.5,9.0,0.0,0.0,2.345268,6.0,0.146871,-0.34641,-0.311803,-0.165239,-0.185532
"4,0",4,0,4.5,0.5,2.0,0.0,0.0,0.0,2.0,-0.738876,-0.34641,-0.311803,-0.807774,-0.503349
"4,1",4,1,4.5,1.5,3.0,0.0,0.0,0.0,7.0,-0.612341,-0.34641,-0.311803,-0.807774,-0.471715
"4,2",4,2,4.5,2.5,4.0,0.0,0.0,0.748151,4.0,-0.485805,-0.34641,-0.311803,-0.602802,-0.409336
"4,3",4,3,4.5,3.5,2.0,0.0,0.0,0.748151,2.0,-0.738876,-0.34641,-0.311803,-0.602802,-0.472603
"4,4",4,4,4.5,4.5,9.0,0.0,0.0,2.345268,6.0,0.146871,-0.34641,-0.311803,-0.165239,-0.185532
"5,0",5,0,5.5,0.5,4.0,0.0,0.0,0.0,8.0,-0.485805,-0.34641,-0.311803,-0.807774,-0.440081
"5,1",5,1,5.5,1.5,2.0,0.0,0.0,0.0,5.0,-0.738876,-0.34641,-0.311803,-0.807774,-0.503349
"5,2",5,2,5.5,2.5,5.0,0.0,0.0,0.748151,6.0,-0.35927,-0.34641,-0.311803,-0.602802,-0.377702
"5,4",5,4,5.5,4.5,22.0,0.0,0.0,7.700438,20.0,1.791831,-0.34641,-0.311803,1.301922,0.445782
"6,0",6,0,6.5,0.5,5.0,0.0,0.0,0.0,7.0,-0.35927,-0.34641,-0.311803,-0.807774,-0.408448
"6,2",6,2,6.5,2.5,24.0,1.0,40.1,0.748151,6.0,2.044901,2.886751,3.440533,-0.602802,2.31899
"6,3",6,3,6.5,3.5,8.0,0.0,0.0,8.806731,4.0,0.020336,-0.34641,-0.311803,1.605014,0.048372
"6,4",6,4,6.5,4.5,42.0,1.0,40.1,8.806731,24.0,4.322537,2.886751,3.440533,1.605014,3.219572
"6,5",6,5,6.5,5.5,3.0,0.0,0.0,1.106293,3.0,-0.612341,-0.34641,-0.311803,-0.504682,-0.426251
"7,0",7,0,7.5,0.5,8.0,0.0,0.0,3.35516,10.0,0.020336,-0.34641,-0.311803,0.111443,-0.175664
"7,1",7,1,7.5,1.5,4.0,0.0,0.0,3.35516,4.0,-0.485805,-0.34641,-0.311803,0.111443,-0.302199
"7,3",7,3,7.5,3.5,17.0,0.0,0.0,9.554882,12.0,1.159154,-0.34641,-0.311803,1.809985,0.363822
"7,4",7,4,7.5,4.5,13.0,0.0,0.0,4.890255,12.0,0.653013,-0.34641,-0.311803,0.532014,0.045591
"7,5",7,5,7.5,5.5,3.0,0.0,0.0,0.0,3.0,-0.612341,-0.34641,-0.311803,-0.807774,-0.471715
"8,0",8,0,8.5,0.5,10.0,0.0,0.0,3.35516,12.0,0.273407,-0.34641,-0.311803,0.111443,-0.112396
"8,1",8,1,8.5,1.5,1.0,0.0,0.0,0.0,1.0,-0.865411,-0.34641,-0.311803,-0.807774,-0.534983
"8,2",8,2,8.5,2.5,14.0,0.0,0.0,12.199872,12.0,0.779548,-0.34641,-0.311803,2.534636,0.377618
"8,3",8,3,8.5,3.5,17.0,0.0,0.0,9.554882,12.0,1.159154,-0.34641,-0.311803,1.809985,0.363822
"8,4",8,4,8.5,4.5,13.0,0.0,0.0,4.890255,12.0,0.653013,-0.34641,-0.311803,0.532014,0.045591
"8,5",8,5,8.5,5.5,5.0,0.0,0.0,0.0,4.0,-0.35927,-0.34641,-0.311803,-0.807774,-0.408448
"9,0",9,0,9.5,0.5,6.0,0.0,0.0,3.35516,7.0,-0.232735,-0.34641,-0.311803,0.111443,-0.238931
"9,1",9,1,9.5,1.5,9.0,0.0,0.0,3.35516,13.0,0.146871,-0.34641,-0.311803,0.111443,-0.14403
"9,2",9,2,9.5,2.5,18.0,1.0,2.1,18.10002,13.0,1.285689,2.886751,-0.115297,4.151104,1.775524
"9,3",9,3,9.5,3.5,6.0,0.0,0.0,1.438694,7.0,-0.232735,-0.34641,-0.311803,-0.413613,-0.31769
"9,4",9,4,9.5,4.5,16.0,0.0,0.0,4.890255,15.0,1.032619,-0.34641,-0.311803,0.532014,0.140493
"9,5",9,5,9.5,5.5,3.0,0.0,0.0,0.0,3.0,-0.612341,-0.34641,-0.311803,-0.807774,-0.471715
"10,1",10,1,10.5,1.5,2.0,0.0,0.0,3.35516,3.0,-0.738876,-0.34641,-0.311803,0.111443,-0.365467
"10,2",10,2,10.5,2.5,6.0,0.0,0.0,6.628672,4.0,-0.232735,-0.34641,-0.311803,1.008289,-0.104404
"10,3",10,3,10.5,3.5,2.0,0.0,0.0,0.0,4.0,-0.738876,-0.34641,-0.311803,-0.807774,-0.503349
"10,4",10,4,10.5,4.5,12.0,0.0,0.0,4.890255,13.0,0.526477,-0.34641,-0.311803,0.532014,0.013957
"11,1",11,1,11.5,1.5,2.0,0.0,0.0,3.35516,2.0,-0.738876,-0.34641,-0.311803,0.111443,-0.365467
"11,2",11,2,11.5,2.5,6.0,0.0,0.0,6.628672,4.0,-0.232735,-0.34641,-0.311803,1.008289,-0.104404
