sample_id,design,x_m,x_n,x_cap_cluster,m,n,cap_cluster,run_key,Cmax,total_delay,remaining_conflicts,feasible,mapping_rule
1,morris,0.0,0.3333333333,0.6666666667,3,13,2,s1_m03_n13_cap2,87.619889,99.094111,0,1,round unit-hypercube coordinate to nearest configured discrete level
2,morris,0.0,0.3333333333,0.0,3,13,1,s1_m03_n13_cap1,88.119889,101.594111,3,1,round unit-hypercube coordinate to nearest configured discrete level
3,morris,0.0,1.0,0.0,3,15,1,s1_m03_n15_cap1,89.370555,172.085503,0,1,round unit-hypercube coordinate to nearest configured discrete level
4,morris,0.6666666667,1.0,0.0,5,15,1,s1_m05_n15_cap1,71.449,40.185444,25,1,round unit-hypercube coordinate to nearest configured discrete level
5,morris,0.3333333333,0.6666666667,0.0,4,14,1,s1_m04_n14_cap1,69.019,33.316555,6,1,round unit-hypercube coordinate to nearest configured discrete level
6,morris,1.0,0.6666666667,0.0,6,14,1,s1_m06_n14_cap1,54.189223,11.29589,59,1,round unit-hypercube coordinate to nearest configured discrete level
7,morris,1.0,0.6666666667,0.6666666667,6,14,2,s1_m06_n14_cap2,54.189223,11.29589,52,1,round unit-hypercube coordinate to nearest configured discrete level
8,morris,1.0,0.0,0.6666666667,6,12,2,s1_m06_n12_cap2,39.388222,1.388222,51,1,round unit-hypercube coordinate to nearest configured discrete level
9,morris,0.3333333333,1.0,0.0,4,15,1,s1_m04_n15_cap1,60.342889,13.226889,14,1,round unit-hypercube coordinate to nearest configured discrete level
10,morris,0.3333333333,0.3333333333,0.0,4,13,1,s1_m04_n13_cap1,69.222324,51.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
11,morris,1.0,0.3333333333,0.0,6,13,1,s1_m06_n13_cap1,32.228889,0.0,42,1,round unit-hypercube coordinate to nearest configured discrete level
12,morris,1.0,0.3333333333,0.6666666667,6,13,2,s1_m06_n13_cap2,32.228889,0.0,36,1,round unit-hypercube coordinate to nearest configured discrete level
13,morris,1.0,0.0,0.3333333333,6,12,2,s1_m06_n12_cap2,39.388222,1.388222,51,1,round unit-hypercube coordinate to nearest configured discrete level
14,morris,1.0,0.6666666667,0.3333333333,6,14,2,s1_m06_n14_cap2,54.189223,11.29589,52,1,round unit-hypercube coordinate to nearest configured discrete level
15,morris,1.0,0.6666666667,1.0,6,14,3,s1_m06_n14_cap3,54.189223,11.29589,52,1,round unit-hypercube coordinate to nearest configured discrete level
16,morris,0.3333333333,0.6666666667,1.0,4,14,3,s1_m04_n14_cap3,69.019,33.316555,6,1,round unit-hypercube coordinate to nearest configured discrete level
17,morris,0.6666666667,1.0,0.3333333333,5,15,2,s1_m05_n15_cap2,67.051667,6.051667,20,1,round unit-hypercube coordinate to nearest configured discrete level
18,morris,0.0,1.0,0.3333333333,3,15,2,s1_m03_n15_cap2,92.438395,156.222022,2,1,round unit-hypercube coordinate to nearest configured discrete level
19,morris,0.0,1.0,1.0,3,15,3,s1_m03_n15_cap3,92.438395,156.222022,2,1,round unit-hypercube coordinate to nearest configured discrete level
20,morris,0.0,0.3333333333,1.0,3,13,3,s1_m03_n13_cap3,87.619889,99.094111,0,1,round unit-hypercube coordinate to nearest configured discrete level
21,morris,1.0,1.0,1.0,6,15,3,s1_m06_n15_cap3,55.189223,13.29589,38,1,round unit-hypercube coordinate to nearest configured discrete level
22,morris,1.0,1.0,0.3333333333,6,15,2,s1_m06_n15_cap2,55.189223,13.29589,38,1,round unit-hypercube coordinate to nearest configured discrete level
23,morris,0.3333333333,1.0,0.3333333333,4,15,2,s1_m04_n15_cap2,68.875433,36.427014,0,1,round unit-hypercube coordinate to nearest configured discrete level
24,morris,0.3333333333,0.3333333333,0.3333333333,4,13,2,s1_m04_n13_cap2,66.340111,43.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
25,morris,0.3333333333,0.6666666667,0.0,4,14,1,s1_m04_n14_cap1,69.019,33.316555,6,1,round unit-hypercube coordinate to nearest configured discrete level
26,morris,0.3333333333,0.6666666667,0.6666666667,4,14,2,s1_m04_n14_cap2,69.019,33.316555,6,1,round unit-hypercube coordinate to nearest configured discrete level
27,morris,0.3333333333,0.0,0.6666666667,4,12,2,s1_m04_n12_cap2,61.840111,59.780665,3,1,round unit-hypercube coordinate to nearest configured discrete level
28,morris,1.0,0.0,0.6666666667,6,12,2,s1_m06_n12_cap2,39.388222,1.388222,51,1,round unit-hypercube coordinate to nearest configured discrete level
29,morris,0.0,0.6666666667,0.6666666667,3,14,2,s1_m03_n14_cap2,87.348517,117.706565,0,1,round unit-hypercube coordinate to nearest configured discrete level
30,morris,0.0,0.6666666667,0.0,3,14,1,s1_m03_n14_cap1,81.348517,114.843788,2,1,round unit-hypercube coordinate to nearest configured discrete level
31,morris,0.0,0.0,0.0,3,12,1,s1_m03_n12_cap1,79.802333,46.352494,0,1,round unit-hypercube coordinate to nearest configured discrete level
32,morris,0.6666666667,0.0,0.0,5,12,1,s1_m05_n12_cap1,54.189223,11.29589,13,1,round unit-hypercube coordinate to nearest configured discrete level
33,morris,0.0,0.6666666667,0.6666666667,3,14,2,s1_m03_n14_cap2,87.348517,117.706565,0,1,round unit-hypercube coordinate to nearest configured discrete level
34,morris,0.0,0.6666666667,0.0,3,14,1,s1_m03_n14_cap1,81.348517,114.843788,2,1,round unit-hypercube coordinate to nearest configured discrete level
35,morris,0.6666666667,0.6666666667,0.0,5,14,1,s1_m05_n14_cap1,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
36,morris,0.6666666667,0.0,0.0,5,12,1,s1_m05_n12_cap1,54.189223,11.29589,13,1,round unit-hypercube coordinate to nearest configured discrete level
37,morris,0.0,1.0,0.0,3,15,1,s1_m03_n15_cap1,89.370555,172.085503,0,1,round unit-hypercube coordinate to nearest configured discrete level
38,morris,0.6666666667,1.0,0.0,5,15,1,s1_m05_n15_cap1,71.449,40.185444,25,1,round unit-hypercube coordinate to nearest configured discrete level
39,morris,0.6666666667,0.3333333333,0.0,5,13,1,s1_m05_n13_cap1,57.193778,5.193778,10,1,round unit-hypercube coordinate to nearest configured discrete level
40,morris,0.6666666667,0.3333333333,0.6666666667,5,13,2,s1_m05_n13_cap2,57.193778,5.193778,9,1,round unit-hypercube coordinate to nearest configured discrete level
