amr_id,assigned_amr,task_id,sequence_order,predecessor_task_id,start_node,pickup,delivery,service_time,earliest_start,latest_finish,priority,transition_path_uid,transition_path_id,transition_travel_time,transition_distance,transition_cost,loaded_path_uid,loaded_path_id,loaded_travel_time,loaded_distance,loaded_cost,estimated_arrival_pickup,estimated_start_time,estimated_finish_time,estimated_delay,estimated_waiting,energy_used,battery_after,transition_status,loaded_path_status,assignment_method,notes
AMR1,AMR1,T01,1,,IN1,P1,SORT1,2.0,0.0,25.0,2.0,vg::IN1__P1__path_1,path_1,2.98,2.98,2.98,vg::P1__SORT1__path_1,path_1,9.126667,8.214,10.214,2.98,2.98,14.106667,0.0,0.0,13.2368,76.7632,ok,ok,m2_milp_goal_programming+mixed,
AMR1,AMR1,T08,2,T01,SORT1,P9,SORT2,2.0,10.0,45.0,3.0,vg::SORT1__P9__path_1,path_1,5.106,5.106,6.106,vg::P9__SORT2__path_1,path_1,5.682222,5.114,5.614,19.212667,19.212667,26.894889,0.0,0.0,11.6428,65.1204,ok,ok,m2_milp_goal_programming+mixed,
AMR1,AMR1,T07,3,T08,SORT2,P7,OUT1,3.0,8.0,42.0,2.0,vg::SORT2__P7__path_1,path_1,5.329,5.329,5.829,vg::P7__OUT1__path_1,path_1,6.021111,5.419,6.419,32.223889,32.223889,41.245,0.0,0.0,12.4318,52.6886,ok,ok,m2_milp_goal_programming+mixed,
AMR2,AMR2,T02,1,,IN2,P3,SORT2,2.0,0.0,28.0,2.0,vg::IN2__P3__path_1,path_1,3.589,3.589,3.589,vg::P3__SORT2__path_1,path_1,8.573333,7.716,8.716000000000001,3.589,3.589,14.162333,0.0,0.0,13.2482,71.7518,ok,ok,m2_milp_goal_programming+mixed,
AMR2,AMR2,T10,2,T02,SORT2,P5,OUT1,3.0,14.0,50.0,2.0,basic_astar::SORT2__P5__path_1,path_1,4.7,4.7,4.7,vg::P5__OUT1__path_1,path_1,7.486667,6.738,7.738,18.862333,18.862333,29.349,0.0,0.0,13.3856,58.3662,ok,ok,m2_milp_goal_programming+mixed,
AMR2,AMR2,T12,3,T10,OUT1,P8,OUT1,2.0,18.0,55.0,3.0,vg::OUT1__P8__path_1,path_1,3.199,3.199,3.199,vg::P8__OUT1__path_1,path_1,3.554444,3.199,3.199,32.548,32.548,38.102444,0.0,0.0,7.4378,50.9284,ok,ok,m2_milp_goal_programming+mixed,
AMR3,AMR3,T06,1,,CHG1,P2,SORT1,2.0,6.0,36.0,1.0,vg::CHG1__P2__path_1,path_1,6.131111,5.518,6.018,vg::P2__SORT1__path_1,path_1,7.301235,5.914,7.914,6.131111,6.131111,15.432346,0.0,0.0,13.0148,86.9852,ok,ok,m2_milp_goal_programming+mixed,
AMR3,AMR3,T03,2,T06,SORT1,P5,SORT1,3.0,2.0,32.0,1.0,vg::SORT1__P5__path_1,path_1,5.232222,4.709,5.709,vg::P5__SORT1__path_1,path_1,5.81358,4.709,5.709,20.664568,20.664568,29.478148,0.0,0.0,10.9598,76.0254,ok,ok,m2_milp_goal_programming+mixed,
AMR3,AMR3,T13,3,T03,SORT1,P7,SORT1,3.0,19.0,53.0,3.0,vg::SORT1__P7__path_1,path_1,4.177778,3.76,4.76,vg::P7__SORT1__path_1,path_1,4.641975,3.76,4.76,33.655926,33.655926,41.297901,0.0,0.0,8.872,67.1534,ok,ok,m2_milp_goal_programming+mixed,
AMR4,AMR4,T04,1,,CHG2,P8,SORT2,2.0,4.0,35.0,3.0,vg::CHG2__P8__path_1,path_1,2.142727,2.357,2.357,vg::P8__SORT2__path_1,path_1,2.317172,2.294,2.294,2.142727,4.0,8.317172,0.0,1.857273,5.5098,74.4902,ok,ok,m2_milp_goal_programming+mixed,
AMR4,AMR4,T11,2,T04,SORT2,P3,OUT2,2.0,16.0,52.0,2.0,vg::SORT2__P3__path_1,path_1,7.014545,7.716,8.716000000000001,vg::P3__OUT2__path_1,path_1,9.450505,9.356,10.356,15.331717,16.0,27.450505,0.0,0.668283,19.3432,55.147,ok,ok,m2_milp_goal_programming+mixed,
AMR4,AMR4,T05,3,T11,OUT2,P6,OUT2,2.0,5.0,38.0,2.0,vg::OUT2__P6__path_1,path_1,3.985455,4.384,4.884,vg::P6__OUT2__path_1,path_1,4.428283,4.384,4.884,31.43596,31.43596,37.864242,0.0,0.0,10.0448,45.1022,ok,ok,m2_milp_goal_programming+mixed,
AMR5,AMR5,T09,1,,IN1,P4,SORT1,2.0,12.0,48.0,1.0,vg::IN1__P4__path_1,path_1,5.678,5.678,6.678,vg::P4__SORT1__path_1,path_1,7.291111,6.562,8.062000000000001,5.678,12.0,21.291111,0.0,6.322,13.9524,76.0476,ok,ok,m2_milp_goal_programming+mixed,
AMR5,AMR5,T14,2,T09,SORT1,P3,OUT2,2.0,21.0,61.0,2.0,vg::SORT1__P3__path_1,path_1,7.687,7.687,9.187,vg::P3__OUT2__path_1,path_1,10.395556,9.356,10.356,28.978111,28.978111,41.373667,0.0,0.0,19.3142,56.7334,ok,ok,m2_milp_goal_programming+mixed,
