run_key,seed,m,n,cap_cluster,cluster_id,method,p1_algorithm,p3_mode,Cmax,total_delay,remaining_conflicts,total_wait_added,solve_time_p2,solve_time_p3,solve_time_total,missing_path_count,missing_transition_count,missing_loaded_path_count,energy_violation_count,p2_feasible,conflict_free,feasible,case_tasks_csv,case_amrs_csv,case_output_dir,source
s1_m03_n12_cap1,1,3,12,1,C03,m2,mixed,wait_reroute_resequence,79.802333,46.352494,0,22.5,118.302,12.134848,130.455499,0,0,0,0,1,1,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_03_n_12/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_03_n_12/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m03_n12_cap1,p5_stage5_true_p2_p3_run
s1_m03_n12_cap2,1,3,12,2,C03,m2,mixed,wait_reroute_resequence,61.188272,25.680605,0,8.0,118.257,11.08364,129.356473,0,0,0,0,1,1,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_03_n_12/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_03_n_12/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m03_n12_cap2,p5_stage5_true_p2_p3_run
s1_m03_n12_cap3,1,3,12,3,C03,m2,mixed,wait_reroute_resequence,61.188272,25.680605,0,8.0,118.284,9.130231,127.423693,0,0,0,0,1,1,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_03_n_12/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_03_n_12/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m03_n12_cap3,p5_stage5_true_p2_p3_run
s1_m03_n13_cap1,1,3,13,1,C03,m2,mixed,wait_reroute_resequence,88.119889,101.594111,3,20.0,118.03,13.201207,131.243865,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_03_n_13/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_03_n_13/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m03_n13_cap1,p5_stage5_true_p2_p3_run
s1_m03_n13_cap2,1,3,13,2,C03,m2,mixed,wait_reroute_resequence,87.619889,99.094111,0,19.5,118.162,17.104636,135.31393,0,0,0,0,1,1,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_03_n_13/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_03_n_13/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m03_n13_cap2,p5_stage5_true_p2_p3_run
s1_m03_n13_cap3,1,3,13,3,C03,m2,mixed,wait_reroute_resequence,87.619889,99.094111,0,19.5,118.176,15.848091,134.033765,0,0,0,0,1,1,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_03_n_13/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_03_n_13/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m03_n13_cap3,p5_stage5_true_p2_p3_run
s1_m03_n14_cap1,1,3,14,1,C03,m2,mixed,wait_reroute_resequence,81.348517,114.843788,2,17.0,117.946,16.542003,134.497909,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_03_n_14/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_03_n_14/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m03_n14_cap1,p5_stage5_true_p2_p3_run
s1_m03_n14_cap2,1,3,14,2,C03,m2,mixed,wait_reroute_resequence,87.348517,117.706565,0,18.0,117.94,13.984648,131.933955,0,0,0,0,1,1,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_03_n_14/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_03_n_14/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m03_n14_cap2,p5_stage5_true_p2_p3_run
s1_m03_n14_cap3,1,3,14,3,C03,m2,mixed,wait_reroute_resequence,87.348517,117.706565,0,18.0,117.831,14.892891,132.734955,0,0,0,0,1,1,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_03_n_14/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_03_n_14/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m03_n14_cap3,p5_stage5_true_p2_p3_run
s1_m03_n15_cap1,1,3,15,1,C03,m2,mixed,wait_reroute_resequence,89.370555,172.085503,0,31.0,117.448,24.065917,141.52351,0,0,0,0,1,1,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_03_n_15/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_03_n_15/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m03_n15_cap1,p5_stage5_true_p2_p3_run
s1_m03_n15_cap2,1,3,15,2,C03,m2,mixed,wait_reroute_resequence,92.438395,156.222022,2,28.0,117.567,22.141604,139.71869,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_03_n_15/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_03_n_15/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m03_n15_cap2,p5_stage5_true_p2_p3_run
s1_m03_n15_cap3,1,3,15,3,C03,m2,mixed,wait_reroute_resequence,92.438395,156.222022,2,28.0,117.611,22.125189,139.746265,0,0,0,0,1,0,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_03_n_15/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_03_n_15/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m03_n15_cap3,p5_stage5_true_p2_p3_run
s1_m04_n12_cap1,1,4,12,1,C03,m2,mixed,wait_reroute_resequence,46.59697,0.0,0,16.0,58.893,25.970756,84.872382,0,0,0,0,1,1,1,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_04_n_12/tasks.csv,data/processed/p5/stage5_morris_sobol/stage5_inputs/s1/m_04_n_12/amrs.csv,data/processed/p5/stage5_morris_sobol/stage5_p2_outputs/s1_m04_n12_cap1,p5_stage5_true_p2_p3_run
