sample_id,design,x_m,x_n,x_cap_cluster,m,n,cap_cluster,run_key,Cmax,total_delay,remaining_conflicts,feasible,mapping_rule
1,sobol,0.8877546228,0.0278254738,0.1872898219,6,12,1,s1_m06_n12_cap1,39.388222,1.388222,53,1,round unit-hypercube coordinate to nearest configured discrete level
2,sobol,0.7086127624,0.0278254738,0.1872898219,5,12,1,s1_m05_n12_cap1,54.189223,11.29589,13,1,round unit-hypercube coordinate to nearest configured discrete level
3,sobol,0.8877546228,0.6497102324,0.1872898219,6,14,1,s1_m06_n14_cap1,54.189223,11.29589,59,1,round unit-hypercube coordinate to nearest configured discrete level
4,sobol,0.8877546228,0.0278254738,0.220183963,6,12,1,s1_m06_n12_cap1,39.388222,1.388222,53,1,round unit-hypercube coordinate to nearest configured discrete level
5,sobol,0.8877546228,0.6497102324,0.220183963,6,14,1,s1_m06_n14_cap1,54.189223,11.29589,59,1,round unit-hypercube coordinate to nearest configured discrete level
6,sobol,0.7086127624,0.0278254738,0.220183963,5,12,1,s1_m05_n12_cap1,54.189223,11.29589,13,1,round unit-hypercube coordinate to nearest configured discrete level
7,sobol,0.7086127624,0.6497102324,0.1872898219,5,14,1,s1_m05_n14_cap1,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
8,sobol,0.7086127624,0.6497102324,0.220183963,5,14,1,s1_m05_n14_cap1,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
9,sobol,0.0139119076,0.5233337637,0.7039359258,3,14,2,s1_m03_n14_cap2,87.348517,117.706565,0,1,round unit-hypercube coordinate to nearest configured discrete level
10,sobol,0.0211919751,0.5233337637,0.7039359258,3,14,2,s1_m03_n14_cap2,87.348517,117.706565,0,1,round unit-hypercube coordinate to nearest configured discrete level
11,sobol,0.0139119076,0.026855764,0.7039359258,3,12,2,s1_m03_n12_cap2,61.188272,25.680605,0,1,round unit-hypercube coordinate to nearest configured discrete level
12,sobol,0.0139119076,0.5233337637,0.5641165031,3,14,2,s1_m03_n14_cap2,87.348517,117.706565,0,1,round unit-hypercube coordinate to nearest configured discrete level
13,sobol,0.0139119076,0.026855764,0.5641165031,3,12,2,s1_m03_n12_cap2,61.188272,25.680605,0,1,round unit-hypercube coordinate to nearest configured discrete level
14,sobol,0.0211919751,0.5233337637,0.5641165031,3,14,2,s1_m03_n14_cap2,87.348517,117.706565,0,1,round unit-hypercube coordinate to nearest configured discrete level
15,sobol,0.0211919751,0.026855764,0.7039359258,3,12,2,s1_m03_n12_cap2,61.188272,25.680605,0,1,round unit-hypercube coordinate to nearest configured discrete level
16,sobol,0.0211919751,0.026855764,0.5641165031,3,12,2,s1_m03_n12_cap2,61.188272,25.680605,0,1,round unit-hypercube coordinate to nearest configured discrete level
17,sobol,0.4803367751,0.3194623534,0.2648381712,4,13,2,s1_m04_n13_cap2,66.340111,43.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
18,sobol,0.9693324668,0.3194623534,0.2648381712,6,13,2,s1_m06_n13_cap2,32.228889,0.0,36,1,round unit-hypercube coordinate to nearest configured discrete level
19,sobol,0.4803367751,0.3473808207,0.2648381712,4,13,2,s1_m04_n13_cap2,66.340111,43.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
20,sobol,0.4803367751,0.3194623534,0.8017680692,4,13,3,s1_m04_n13_cap3,66.340111,43.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
21,sobol,0.4803367751,0.3473808207,0.8017680692,4,13,3,s1_m04_n13_cap3,66.340111,43.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
22,sobol,0.9693324668,0.3194623534,0.8017680692,6,13,3,s1_m06_n13_cap3,32.228889,0.0,32,1,round unit-hypercube coordinate to nearest configured discrete level
23,sobol,0.9693324668,0.3473808207,0.2648381712,6,13,2,s1_m06_n13_cap2,32.228889,0.0,36,1,round unit-hypercube coordinate to nearest configured discrete level
24,sobol,0.9693324668,0.3473808207,0.8017680692,6,13,3,s1_m06_n13_cap3,32.228889,0.0,32,1,round unit-hypercube coordinate to nearest configured discrete level
25,sobol,0.6024628766,0.8249346344,0.8439247562,5,14,3,s1_m05_n14_cap3,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
26,sobol,0.2819423126,0.8249346344,0.8439247562,4,14,3,s1_m04_n14_cap3,69.019,33.316555,6,1,round unit-hypercube coordinate to nearest configured discrete level
27,sobol,0.6024628766,0.9701938061,0.8439247562,5,15,3,s1_m05_n15_cap3,67.051667,6.051667,19,1,round unit-hypercube coordinate to nearest configured discrete level
28,sobol,0.6024628766,0.8249346344,0.3963111378,5,14,2,s1_m05_n14_cap2,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
29,sobol,0.6024628766,0.9701938061,0.3963111378,5,15,2,s1_m05_n15_cap2,67.051667,6.051667,20,1,round unit-hypercube coordinate to nearest configured discrete level
30,sobol,0.2819423126,0.8249346344,0.3963111378,4,14,2,s1_m04_n14_cap2,69.019,33.316555,6,1,round unit-hypercube coordinate to nearest configured discrete level
31,sobol,0.2819423126,0.9701938061,0.8439247562,4,15,3,s1_m04_n15_cap3,68.875433,36.427014,0,1,round unit-hypercube coordinate to nearest configured discrete level
32,sobol,0.2819423126,0.9701938061,0.3963111378,4,15,2,s1_m04_n15_cap2,68.875433,36.427014,0,1,round unit-hypercube coordinate to nearest configured discrete level
33,sobol,0.7133565154,0.4469453804,0.5184800867,5,13,2,s1_m05_n13_cap2,57.193778,5.193778,9,1,round unit-hypercube coordinate to nearest configured discrete level
34,sobol,0.4611909632,0.4469453804,0.5184800867,4,13,2,s1_m04_n13_cap2,66.340111,43.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
35,sobol,0.7133565154,0.8042552015,0.5184800867,5,14,2,s1_m05_n14_cap2,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
36,sobol,0.7133565154,0.4469453804,0.0573277269,5,13,1,s1_m05_n13_cap1,57.193778,5.193778,10,1,round unit-hypercube coordinate to nearest configured discrete level
37,sobol,0.7133565154,0.8042552015,0.0573277269,5,14,1,s1_m05_n14_cap1,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
38,sobol,0.4611909632,0.4469453804,0.0573277269,4,13,1,s1_m04_n13_cap1,69.222324,51.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
39,sobol,0.4611909632,0.8042552015,0.5184800867,4,14,2,s1_m04_n14_cap2,69.019,33.316555,6,1,round unit-hypercube coordinate to nearest configured discrete level
40,sobol,0.4611909632,0.8042552015,0.0573277269,4,14,1,s1_m04_n14_cap1,69.019,33.316555,6,1,round unit-hypercube coordinate to nearest configured discrete level
41,sobol,0.3372011399,0.9396611052,0.1229858808,4,15,1,s1_m04_n15_cap1,60.342889,13.226889,14,1,round unit-hypercube coordinate to nearest configured discrete level
42,sobol,0.7738637514,0.9396611052,0.1229858808,5,15,1,s1_m05_n15_cap1,71.449,40.185444,25,1,round unit-hypercube coordinate to nearest configured discrete level
43,sobol,0.3372011399,0.4270138219,0.1229858808,4,13,1,s1_m04_n13_cap1,69.222324,51.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
44,sobol,0.3372011399,0.9396611052,0.6507729394,4,15,2,s1_m04_n15_cap2,68.875433,36.427014,0,1,round unit-hypercube coordinate to nearest configured discrete level
45,sobol,0.3372011399,0.4270138219,0.6507729394,4,13,2,s1_m04_n13_cap2,66.340111,43.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
46,sobol,0.7738637514,0.9396611052,0.6507729394,5,15,2,s1_m05_n15_cap2,67.051667,6.051667,20,1,round unit-hypercube coordinate to nearest configured discrete level
47,sobol,0.7738637514,0.4270138219,0.1229858808,5,13,1,s1_m05_n13_cap1,57.193778,5.193778,10,1,round unit-hypercube coordinate to nearest configured discrete level
48,sobol,0.7738637514,0.4270138219,0.6507729394,5,13,2,s1_m05_n13_cap2,57.193778,5.193778,9,1,round unit-hypercube coordinate to nearest configured discrete level
49,sobol,0.1842376357,0.1435066545,0.9082838632,4,12,3,s1_m04_n12_cap3,61.840111,59.780665,3,1,round unit-hypercube coordinate to nearest configured discrete level
50,sobol,0.231705972,0.1435066545,0.9082838632,4,12,3,s1_m04_n12_cap3,61.840111,59.780665,3,1,round unit-hypercube coordinate to nearest configured discrete level
51,sobol,0.1842376357,0.200640724,0.9082838632,4,13,3,s1_m04_n13_cap3,66.340111,43.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
52,sobol,0.1842376357,0.1435066545,0.983159204,4,12,3,s1_m04_n12_cap3,61.840111,59.780665,3,1,round unit-hypercube coordinate to nearest configured discrete level
53,sobol,0.1842376357,0.200640724,0.983159204,4,13,3,s1_m04_n13_cap3,66.340111,43.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
54,sobol,0.231705972,0.1435066545,0.983159204,4,12,3,s1_m04_n12_cap3,61.840111,59.780665,3,1,round unit-hypercube coordinate to nearest configured discrete level
55,sobol,0.231705972,0.200640724,0.9082838632,4,13,3,s1_m04_n13_cap3,66.340111,43.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
56,sobol,0.231705972,0.200640724,0.983159204,4,13,3,s1_m04_n13_cap3,66.340111,43.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
57,sobol,0.812109625,0.6498179585,0.4502309728,5,14,2,s1_m05_n14_cap2,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
58,sobol,0.5443481272,0.6498179585,0.4502309728,5,14,2,s1_m05_n14_cap2,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
59,sobol,0.812109625,0.5778558757,0.4502309728,5,14,2,s1_m05_n14_cap2,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
60,sobol,0.812109625,0.6498179585,0.3262383826,5,14,2,s1_m05_n14_cap2,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
61,sobol,0.812109625,0.5778558757,0.3262383826,5,14,2,s1_m05_n14_cap2,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
62,sobol,0.5443481272,0.6498179585,0.3262383826,5,14,2,s1_m05_n14_cap2,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
63,sobol,0.5443481272,0.5778558757,0.4502309728,5,14,2,s1_m05_n14_cap2,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
64,sobol,0.5443481272,0.5778558757,0.3262383826,5,14,2,s1_m05_n14_cap2,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
65,sobol,0.837249076,0.2897866806,0.947759415,6,13,3,s1_m06_n13_cap3,32.228889,0.0,32,1,round unit-hypercube coordinate to nearest configured discrete level
66,sobol,0.8559701433,0.2897866806,0.947759415,6,13,3,s1_m06_n13_cap3,32.228889,0.0,32,1,round unit-hypercube coordinate to nearest configured discrete level
67,sobol,0.837249076,0.1228087051,0.947759415,6,12,3,s1_m06_n12_cap3,39.388222,1.388222,51,1,round unit-hypercube coordinate to nearest configured discrete level
68,sobol,0.837249076,0.2897866806,0.4918644046,6,13,2,s1_m06_n13_cap2,32.228889,0.0,36,1,round unit-hypercube coordinate to nearest configured discrete level
69,sobol,0.837249076,0.1228087051,0.4918644046,6,12,2,s1_m06_n12_cap2,39.388222,1.388222,51,1,round unit-hypercube coordinate to nearest configured discrete level
70,sobol,0.8559701433,0.2897866806,0.4918644046,6,13,2,s1_m06_n13_cap2,32.228889,0.0,36,1,round unit-hypercube coordinate to nearest configured discrete level
71,sobol,0.8559701433,0.1228087051,0.947759415,6,12,3,s1_m06_n12_cap3,39.388222,1.388222,51,1,round unit-hypercube coordinate to nearest configured discrete level
72,sobol,0.8559701433,0.1228087051,0.4918644046,6,12,2,s1_m06_n12_cap2,39.388222,1.388222,51,1,round unit-hypercube coordinate to nearest configured discrete level
73,sobol,0.213282383,0.7843298819,0.4117317619,4,14,2,s1_m04_n14_cap2,69.019,33.316555,6,1,round unit-hypercube coordinate to nearest configured discrete level
74,sobol,0.4186349371,0.7843298819,0.4117317619,4,14,2,s1_m04_n14_cap2,69.019,33.316555,6,1,round unit-hypercube coordinate to nearest configured discrete level
75,sobol,0.213282383,0.7490697019,0.4117317619,4,14,2,s1_m04_n14_cap2,69.019,33.316555,6,1,round unit-hypercube coordinate to nearest configured discrete level
76,sobol,0.213282383,0.7843298819,0.8354317453,4,14,3,s1_m04_n14_cap3,69.019,33.316555,6,1,round unit-hypercube coordinate to nearest configured discrete level
77,sobol,0.213282383,0.7490697019,0.8354317453,4,14,3,s1_m04_n14_cap3,69.019,33.316555,6,1,round unit-hypercube coordinate to nearest configured discrete level
78,sobol,0.4186349371,0.7843298819,0.8354317453,4,14,3,s1_m04_n14_cap3,69.019,33.316555,6,1,round unit-hypercube coordinate to nearest configured discrete level
79,sobol,0.4186349371,0.7490697019,0.4117317619,4,14,2,s1_m04_n14_cap2,69.019,33.316555,6,1,round unit-hypercube coordinate to nearest configured discrete level
80,sobol,0.4186349371,0.7490697019,0.8354317453,4,14,3,s1_m04_n14_cap3,69.019,33.316555,6,1,round unit-hypercube coordinate to nearest configured discrete level
81,sobol,0.3120316481,0.1131694708,0.6195990192,4,12,2,s1_m04_n12_cap2,61.840111,59.780665,3,1,round unit-hypercube coordinate to nearest configured discrete level
82,sobol,0.5874225311,0.1131694708,0.6195990192,5,12,2,s1_m05_n12_cap2,54.189223,11.29589,13,1,round unit-hypercube coordinate to nearest configured discrete level
83,sobol,0.3120316481,0.8820648091,0.6195990192,4,15,2,s1_m04_n15_cap2,68.875433,36.427014,0,1,round unit-hypercube coordinate to nearest configured discrete level
84,sobol,0.3120316481,0.1131694708,0.5350269452,4,12,2,s1_m04_n12_cap2,61.840111,59.780665,3,1,round unit-hypercube coordinate to nearest configured discrete level
85,sobol,0.3120316481,0.8820648091,0.5350269452,4,15,2,s1_m04_n15_cap2,68.875433,36.427014,0,1,round unit-hypercube coordinate to nearest configured discrete level
86,sobol,0.5874225311,0.1131694708,0.5350269452,5,12,2,s1_m05_n12_cap2,54.189223,11.29589,13,1,round unit-hypercube coordinate to nearest configured discrete level
87,sobol,0.5874225311,0.8820648091,0.6195990192,5,15,2,s1_m05_n15_cap2,67.051667,6.051667,20,1,round unit-hypercube coordinate to nearest configured discrete level
88,sobol,0.5874225311,0.8820648091,0.5350269452,5,15,2,s1_m05_n15_cap2,67.051667,6.051667,20,1,round unit-hypercube coordinate to nearest configured discrete level
89,sobol,0.6842817273,0.6176461456,0.0208906112,5,14,1,s1_m05_n14_cap1,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
90,sobol,0.1500569303,0.6176461456,0.0208906112,3,14,1,s1_m03_n14_cap1,81.348517,114.843788,2,1,round unit-hypercube coordinate to nearest configured discrete level
91,sobol,0.6842817273,0.2558224071,0.0208906112,5,13,1,s1_m05_n13_cap1,57.193778,5.193778,10,1,round unit-hypercube coordinate to nearest configured discrete level
92,sobol,0.6842817273,0.6176461456,0.1279839957,5,14,1,s1_m05_n14_cap1,66.245,45.246556,30,1,round unit-hypercube coordinate to nearest configured discrete level
93,sobol,0.6842817273,0.2558224071,0.1279839957,5,13,1,s1_m05_n13_cap1,57.193778,5.193778,10,1,round unit-hypercube coordinate to nearest configured discrete level
94,sobol,0.1500569303,0.6176461456,0.1279839957,3,14,1,s1_m03_n14_cap1,81.348517,114.843788,2,1,round unit-hypercube coordinate to nearest configured discrete level
