path_uid,from_node,to_node,path_id,rank_by_total,algorithm,node_sequence,edge_sequence,edge_occupancy_offset,node_occupancy_offset,distance,travel_time,turn_count,turn_cost,risk_cost,narrow_count,dynamic_count,lockable_count,bottleneck_capacity,total_cost
IN1__IN2__path_1,IN1,IN2,path_1,1,dijkstra_time+dijkstra_total+k_shortest_total,IN1->J1->J2->J3->IN2,e01->e03->e04->e02,e01@0-2;e03@2-4;e04@4-6;e02@6-8,IN1@0;J1@2;J2@4;J3@6;IN2@8,8.0,8.0,2,1.0,4.0,0,0,0,2,13.0
IN1__IN2__path_2,IN1,IN2,path_2,2,k_shortest_total,IN1->J1->P1->P2->P3->J3->IN2,e01->e05->e08->e09->e07->e02,e01@0-2;e05@2-4;e08@4-6;e09@6-8;e07@8-10;e02@10-12,IN1@0;J1@2;P1@4;P2@6;P3@8;J3@10;IN2@12,12.0,12.0,2,1.0,6.0,0,0,0,2,19.0
IN1__IN2__path_3,IN1,IN2,path_3,3,k_shortest_total,IN1->J1->J2->P2->P3->J3->IN2,e01->e03->e06->e09->e07->e02,e01@0-2;e03@2-4;e06@4-6;e09@6-8;e07@8-10;e02@10-12,IN1@0;J1@2;J2@4;P2@6;P3@8;J3@10;IN2@12,12.0,12.0,4,2.0,7.0,1,0,0,1,22.0
IN1__P1__path_1,IN1,P1,path_1,1,dijkstra_time+dijkstra_total+k_shortest_total,IN1->J1->P1,e01->e05,e01@0-2;e05@2-4,IN1@0;J1@2;P1@4,4.0,4.0,0,0.0,2.0,0,0,0,2,6.0
IN1__P1__path_2,IN1,P1,path_2,2,k_shortest_total,IN1->J1->J2->P2->P1,e01->e03->e06->e08,e01@0-2;e03@2-4;e06@4-6;e08@6-8,IN1@0;J1@2;J2@4;P2@6;P1@8,8.0,8.0,3,1.5,5.0,1,0,0,1,15.5
IN1__P1__path_3,IN1,P1,path_3,3,k_shortest_total,IN1->J1->J2->J3->P3->P2->P1,e01->e03->e04->e07->e09->e08,e01@0-2;e03@2-4;e04@4-6;e07@6-8;e09@8-10;e08@10-12,IN1@0;J1@2;J2@4;J3@6;P3@8;P2@10;P1@12,12.0,12.0,3,1.5,6.0,0,0,0,2,19.5
IN1__P2__path_1,IN1,P2,path_1,1,dijkstra_total+k_shortest_total,IN1->J1->P1->P2,e01->e05->e08,e01@0-2;e05@2-4;e08@4-6,IN1@0;J1@2;P1@4;P2@6,6.0,6.0,1,0.5,3.0,0,0,0,2,9.5
IN1__P2__path_2,IN1,P2,path_2,2,dijkstra_time+k_shortest_total,IN1->J1->J2->P2,e01->e03->e06,e01@0-2;e03@2-4;e06@4-6,IN1@0;J1@2;J2@4;P2@6,6.0,6.0,2,1.0,4.0,1,0,0,1,12.0
IN1__P2__path_3,IN1,P2,path_3,3,k_shortest_total,IN1->J1->J2->J3->P3->P2,e01->e03->e04->e07->e09,e01@0-2;e03@2-4;e04@4-6;e07@6-8;e09@8-10,IN1@0;J1@2;J2@4;J3@6;P3@8;P2@10,10.0,10.0,3,1.5,5.0,0,0,0,2,16.5
IN1__P3__path_1,IN1,P3,path_1,1,k_shortest_total,IN1->J1->P1->P2->P3,e01->e05->e08->e09,e01@0-2;e05@2-4;e08@4-6;e09@6-8,IN1@0;J1@2;P1@4;P2@6;P3@8,8.0,8.0,1,0.5,4.0,0,0,0,2,12.5
