from_node,IN1,IN2,P1,P2,P3,P4,P5,P6,P7,P8,P9,SORT1,SORT2,OUT1,OUT2,CHG1,CHG2
IN1,0.0,8.0,4.0,6.0,8.0,6.0,8.0,10.0,8.0,10.0,12.0,11.0,13.0,13.0,15.0,4.0,10.0
IN2,8.0,0.0,8.0,6.0,4.0,10.0,8.0,6.0,12.0,10.0,8.0,13.0,11.0,15.0,13.0,8.0,14.0
P1,4.0,8.0,0.0,2.0,4.0,2.0,4.0,6.0,4.0,6.0,8.0,7.0,9.0,9.0,11.0,4.0,6.0
P2,6.0,6.0,2.0,0.0,2.0,4.0,2.0,4.0,6.0,4.0,6.0,7.0,7.0,9.0,9.0,6.0,8.0
P3,8.0,4.0,4.0,2.0,0.0,6.0,4.0,2.0,8.0,6.0,4.0,9.0,7.0,11.0,9.0,8.0,10.0
P4,6.0,10.0,2.0,4.0,6.0,0.0,2.0,4.0,2.0,4.0,6.0,5.0,7.0,7.0,9.0,6.0,4.0
P5,8.0,8.0,4.0,2.0,4.0,2.0,0.0,2.0,4.0,2.0,4.0,5.0,5.0,7.0,7.0,8.0,6.0
P6,10.0,6.0,6.0,4.0,2.0,4.0,2.0,0.0,6.0,4.0,2.0,7.0,5.0,9.0,7.0,10.0,8.0
P7,8.0,12.0,4.0,6.0,8.0,2.0,4.0,6.0,0.0,2.0,4.0,3.0,5.0,5.0,7.0,8.0,2.0
P8,10.0,10.0,6.0,4.0,6.0,4.0,2.0,4.0,2.0,0.0,2.0,3.0,3.0,5.0,5.0,10.0,4.0
P9,12.0,8.0,8.0,6.0,4.0,6.0,4.0,2.0,4.0,2.0,0.0,5.0,3.0,7.0,5.0,12.0,6.0
SORT1,11.0,13.0,7.0,7.0,9.0,5.0,5.0,7.0,3.0,3.0,5.0,0.0,6.0,2.0,8.0,11.0,5.0
SORT2,13.0,11.0,9.0,7.0,7.0,7.0,5.0,5.0,5.0,3.0,3.0,6.0,0.0,8.0,2.0,13.0,7.0
OUT1,,,,,,,,,,,,,,0.0,,,
OUT2,,,,,,,,,,,,,,,0.0,,
CHG1,4.0,8.0,4.0,6.0,8.0,6.0,8.0,10.0,8.0,10.0,12.0,11.0,13.0,13.0,15.0,0.0,10.0
CHG2,10.0,14.0,6.0,8.0,10.0,4.0,6.0,8.0,2.0,4.0,6.0,5.0,7.0,7.0,9.0,10.0,0.0
