from_node,IN1,IN2,P1,P2,P3,P4,P5,P6,P7,P8,P9,SORT1,SORT2,OUT1,OUT2,CHG1,CHG2
IN1,0.0,13.0,6.0,9.5,12.5,11.0,15.0,18.0,14.0,17.5,20.5,18.5,22.0,22.0,25.5,6.5,17.5
IN2,13.0,0.0,12.5,9.5,6.0,18.0,15.0,11.0,20.5,17.5,14.0,22.0,18.5,25.5,22.0,13.0,24.0
P1,6.0,12.5,0.0,3.0,6.0,5.0,8.5,11.5,8.0,11.5,14.5,12.5,16.0,16.0,19.5,6.5,11.5
P2,9.5,9.5,3.0,0.0,3.0,8.5,5.0,8.5,11.5,14.0,11.5,16.0,16.0,19.5,19.5,10.0,15.0
P3,12.5,6.0,6.0,3.0,0.0,11.5,8.5,5.0,14.5,11.5,8.0,16.0,12.5,19.5,16.0,13.0,18.0
P4,11.0,18.0,5.0,8.5,11.5,0.0,5.0,10.0,3.0,6.5,9.5,7.5,11.0,11.0,14.5,11.5,6.5
P5,15.0,15.0,8.5,5.0,8.5,5.0,0.0,5.0,8.5,9.0,8.5,13.0,13.0,16.5,16.5,15.5,12.0
P6,18.0,11.0,11.5,8.5,5.0,10.0,5.0,0.0,9.5,6.5,3.0,11.0,7.5,14.5,11.0,18.0,13.0
P7,14.0,20.5,8.0,11.5,14.5,3.0,8.5,9.5,0.0,3.0,6.0,4.0,7.5,7.5,11.0,14.5,3.0
P8,17.5,17.5,11.5,14.0,11.5,6.5,9.0,6.5,3.0,0.0,3.0,4.0,4.0,7.5,7.5,18.0,6.5
P9,20.5,14.0,14.5,11.5,8.0,9.5,8.5,3.0,6.0,3.0,0.0,7.5,4.0,11.0,7.5,21.0,9.5
SORT1,18.5,22.0,12.5,16.0,16.0,7.5,13.0,11.0,4.0,4.0,7.5,0.0,8.5,3.0,12.0,19.0,7.5
SORT2,22.0,18.5,16.0,16.0,12.5,11.0,13.0,7.5,7.5,4.0,4.0,8.5,0.0,12.0,3.0,22.5,11.0
OUT1,,,,,,,,,,,,,,0.0,,,
OUT2,,,,,,,,,,,,,,,0.0,,
CHG1,6.5,13.0,6.5,10.0,13.0,11.5,15.5,18.0,14.5,18.0,21.0,19.0,22.5,22.5,26.0,0.0,18.0
CHG2,17.5,24.0,11.5,15.0,18.0,6.5,12.0,13.0,3.0,6.5,9.5,7.5,11.0,11.0,14.5,18.0,0.0
