path_uid,from_node,to_node,path_id,step_index,edge_id,from_node_on_edge,to_node_on_edge,offset_start,offset_end,travel_time,capacity,edge_type,lockable
IN1__IN2__path_1,IN1,IN2,path_1,0,e01,IN1,J1,0.0,2.0,2.0,2,normal,0
IN1__IN2__path_1,IN1,IN2,path_1,1,e03,J1,J2,2.0,4.0,2.0,2,normal,0
IN1__IN2__path_1,IN1,IN2,path_1,2,e04,J2,J3,4.0,6.0,2.0,2,normal,0
IN1__IN2__path_1,IN1,IN2,path_1,3,e02,J3,IN2,6.0,8.0,2.0,2,normal,0
IN1__IN2__path_2,IN1,IN2,path_2,0,e01,IN1,J1,0.0,2.0,2.0,2,normal,0
IN1__IN2__path_2,IN1,IN2,path_2,1,e05,J1,P1,2.0,4.0,2.0,2,normal,0
IN1__IN2__path_2,IN1,IN2,path_2,2,e08,P1,P2,4.0,6.0,2.0,2,normal,0
IN1__IN2__path_2,IN1,IN2,path_2,3,e09,P2,P3,6.0,8.0,2.0,2,normal,0
IN1__IN2__path_2,IN1,IN2,path_2,4,e07,P3,J3,8.0,10.0,2.0,2,normal,0
IN1__IN2__path_2,IN1,IN2,path_2,5,e02,J3,IN2,10.0,12.0,2.0,2,normal,0
IN1__IN2__path_3,IN1,IN2,path_3,0,e01,IN1,J1,0.0,2.0,2.0,2,normal,0
IN1__IN2__path_3,IN1,IN2,path_3,1,e03,J1,J2,2.0,4.0,2.0,2,normal,0
IN1__IN2__path_3,IN1,IN2,path_3,2,e06,J2,P2,4.0,6.0,2.0,1,narrow,0
IN1__IN2__path_3,IN1,IN2,path_3,3,e09,P2,P3,6.0,8.0,2.0,2,normal,0
IN1__IN2__path_3,IN1,IN2,path_3,4,e07,P3,J3,8.0,10.0,2.0,2,normal,0
IN1__IN2__path_3,IN1,IN2,path_3,5,e02,J3,IN2,10.0,12.0,2.0,2,normal,0
IN1__P1__path_1,IN1,P1,path_1,0,e01,IN1,J1,0.0,2.0,2.0,2,normal,0
IN1__P1__path_1,IN1,P1,path_1,1,e05,J1,P1,2.0,4.0,2.0,2,normal,0
IN1__P1__path_2,IN1,P1,path_2,0,e01,IN1,J1,0.0,2.0,2.0,2,normal,0
IN1__P1__path_2,IN1,P1,path_2,1,e03,J1,J2,2.0,4.0,2.0,2,normal,0
IN1__P1__path_2,IN1,P1,path_2,2,e06,J2,P2,4.0,6.0,2.0,1,narrow,0
IN1__P1__path_2,IN1,P1,path_2,3,e08,P2,P1,6.0,8.0,2.0,2,normal,0
IN1__P1__path_3,IN1,P1,path_3,0,e01,IN1,J1,0.0,2.0,2.0,2,normal,0
IN1__P1__path_3,IN1,P1,path_3,1,e03,J1,J2,2.0,4.0,2.0,2,normal,0
IN1__P1__path_3,IN1,P1,path_3,2,e04,J2,J3,4.0,6.0,2.0,2,normal,0
IN1__P1__path_3,IN1,P1,path_3,3,e07,J3,P3,6.0,8.0,2.0,2,normal,0
IN1__P1__path_3,IN1,P1,path_3,4,e09,P3,P2,8.0,10.0,2.0,2,normal,0
IN1__P1__path_3,IN1,P1,path_3,5,e08,P2,P1,10.0,12.0,2.0,2,normal,0
IN1__P2__path_1,IN1,P2,path_1,0,e01,IN1,J1,0.0,2.0,2.0,2,normal,0
IN1__P2__path_1,IN1,P2,path_1,1,e05,J1,P1,2.0,4.0,2.0,2,normal,0
IN1__P2__path_1,IN1,P2,path_1,2,e08,P1,P2,4.0,6.0,2.0,2,normal,0
IN1__P2__path_2,IN1,P2,path_2,0,e01,IN1,J1,0.0,2.0,2.0,2,normal,0
IN1__P2__path_2,IN1,P2,path_2,1,e03,J1,J2,2.0,4.0,2.0,2,normal,0
IN1__P2__path_2,IN1,P2,path_2,2,e06,J2,P2,4.0,6.0,2.0,1,narrow,0
IN1__P2__path_3,IN1,P2,path_3,0,e01,IN1,J1,0.0,2.0,2.0,2,normal,0
IN1__P2__path_3,IN1,P2,path_3,1,e03,J1,J2,2.0,4.0,2.0,2,normal,0
IN1__P2__path_3,IN1,P2,path_3,2,e04,J2,J3,4.0,6.0,2.0,2,normal,0
IN1__P2__path_3,IN1,P2,path_3,3,e07,J3,P3,6.0,8.0,2.0,2,normal,0
IN1__P2__path_3,IN1,P2,path_3,4,e09,P3,P2,8.0,10.0,2.0,2,normal,0
