path_uid,from_node,to_node,path_id,node_index,node_id,offset_time
IN1__IN2__path_1,IN1,IN2,path_1,0,IN1,0.0
IN1__IN2__path_1,IN1,IN2,path_1,1,J1,2.0
IN1__IN2__path_1,IN1,IN2,path_1,2,J2,4.0
IN1__IN2__path_1,IN1,IN2,path_1,3,J3,6.0
IN1__IN2__path_1,IN1,IN2,path_1,4,IN2,8.0
IN1__IN2__path_2,IN1,IN2,path_2,0,IN1,0.0
IN1__IN2__path_2,IN1,IN2,path_2,1,J1,2.0
IN1__IN2__path_2,IN1,IN2,path_2,2,P1,4.0
IN1__IN2__path_2,IN1,IN2,path_2,3,P2,6.0
IN1__IN2__path_2,IN1,IN2,path_2,4,P3,8.0
IN1__IN2__path_2,IN1,IN2,path_2,5,J3,10.0
IN1__IN2__path_2,IN1,IN2,path_2,6,IN2,12.0
IN1__IN2__path_3,IN1,IN2,path_3,0,IN1,0.0
IN1__IN2__path_3,IN1,IN2,path_3,1,J1,2.0
IN1__IN2__path_3,IN1,IN2,path_3,2,J2,4.0
IN1__IN2__path_3,IN1,IN2,path_3,3,P2,6.0
IN1__IN2__path_3,IN1,IN2,path_3,4,P3,8.0
IN1__IN2__path_3,IN1,IN2,path_3,5,J3,10.0
IN1__IN2__path_3,IN1,IN2,path_3,6,IN2,12.0
IN1__P1__path_1,IN1,P1,path_1,0,IN1,0.0
IN1__P1__path_1,IN1,P1,path_1,1,J1,2.0
IN1__P1__path_1,IN1,P1,path_1,2,P1,4.0
IN1__P1__path_2,IN1,P1,path_2,0,IN1,0.0
IN1__P1__path_2,IN1,P1,path_2,1,J1,2.0
IN1__P1__path_2,IN1,P1,path_2,2,J2,4.0
IN1__P1__path_2,IN1,P1,path_2,3,P2,6.0
IN1__P1__path_2,IN1,P1,path_2,4,P1,8.0
IN1__P1__path_3,IN1,P1,path_3,0,IN1,0.0
IN1__P1__path_3,IN1,P1,path_3,1,J1,2.0
IN1__P1__path_3,IN1,P1,path_3,2,J2,4.0
IN1__P1__path_3,IN1,P1,path_3,3,J3,6.0
IN1__P1__path_3,IN1,P1,path_3,4,P3,8.0
IN1__P1__path_3,IN1,P1,path_3,5,P2,10.0
IN1__P1__path_3,IN1,P1,path_3,6,P1,12.0
IN1__P2__path_1,IN1,P2,path_1,0,IN1,0.0
IN1__P2__path_1,IN1,P2,path_1,1,J1,2.0
IN1__P2__path_1,IN1,P2,path_1,2,P1,4.0
IN1__P2__path_1,IN1,P2,path_1,3,P2,6.0
IN1__P2__path_2,IN1,P2,path_2,0,IN1,0.0
IN1__P2__path_2,IN1,P2,path_2,1,J1,2.0
IN1__P2__path_2,IN1,P2,path_2,2,J2,4.0
IN1__P2__path_2,IN1,P2,path_2,3,P2,6.0
IN1__P2__path_3,IN1,P2,path_3,0,IN1,0.0
IN1__P2__path_3,IN1,P2,path_3,1,J1,2.0
IN1__P2__path_3,IN1,P2,path_3,2,J2,4.0
IN1__P2__path_3,IN1,P2,path_3,3,J3,6.0
IN1__P2__path_3,IN1,P2,path_3,4,P3,8.0
IN1__P2__path_3,IN1,P2,path_3,5,P2,10.0
IN1__P3__path_1,IN1,P3,path_1,0,IN1,0.0
IN1__P3__path_1,IN1,P3,path_1,1,J1,2.0
IN1__P3__path_1,IN1,P3,path_1,2,P1,4.0
IN1__P3__path_1,IN1,P3,path_1,3,P2,6.0
IN1__P3__path_1,IN1,P3,path_1,4,P3,8.0
IN1__P3__path_2,IN1,P3,path_2,0,IN1,0.0
