task_id,old_amr,new_amr,old_start,new_start,old_finish,new_finish,changed,affected_event_ids,change_reason,delay_added,reschedule_status,reschedule_method,sequence_order,pickup,delivery,path_uid,transition_path_uid,loaded_path_uid,notes
T01,AMR1,AMR1,4.0,4.0,13.0,13.0,0,,,0.0,scheduled,rolling_horizon_interface_stub,1,P1,SORT1,P1__SORT1__path_1,IN1__P1__path_1,P1__SORT1__path_1,
T06,AMR1,AMR1,22.0,28.0,33.0,39.0,1,E01,edge_block:e10,6.0,scheduled,rolling_horizon_interface_stub,2,P2,SORT1,P2__SORT1__path_1,SORT1__P2__path_1,P2__SORT1__path_1,
T02,AMR2,AMR2,4.0,4.0,13.0,13.0,0,,,0.0,scheduled,rolling_horizon_interface_stub,1,P3,SORT2,P3__SORT2__path_1,IN2__P3__path_1,P3__SORT2__path_1,
T08,AMR2,AMR2,16.0,16.0,21.0,21.0,0,,,0.0,scheduled,rolling_horizon_interface_stub,2,P9,SORT2,P9__SORT2__path_1,SORT2__P9__path_1,P9__SORT2__path_1,
T10,AMR2,AMR2,28.0,34.0,40.0,46.0,1,E02,amr_delay:AMR2,6.0,scheduled,rolling_horizon_interface_stub,3,P5,OUT1,P5__OUT1__path_1,SORT2__P5__path_1,P5__OUT1__path_1,
T05,AMR3,AMR3,10.0,10.0,19.0,19.0,0,,,0.0,scheduled,rolling_horizon_interface_stub,1,P6,OUT2,P6__OUT2__path_1,CHG1__P6__path_1,P6__OUT2__path_1,
T09,AMR3,AMR3,,,,,0,,,0.0,missing_path,rolling_horizon_interface_stub,2,P4,SORT1,P4__SORT1__path_1,,P4__SORT1__path_1,transition path missing
T11,AMR3,AMR3,28.0,28.0,39.0,39.0,0,,,0.0,scheduled,rolling_horizon_interface_stub,3,P3,OUT2,P3__OUT2__path_1,SORT1__P3__path_1,P3__OUT2__path_1,
T03,AMR4,AMR4,6.0,6.0,16.0,16.0,0,,,0.0,scheduled,rolling_horizon_interface_stub,1,P5,SORT1,P5__SORT1__path_1,CHG2__P5__path_1,P5__SORT1__path_1,
T04,AMR4,AMR4,19.0,19.0,24.0,24.0,0,,,0.0,scheduled,rolling_horizon_interface_stub,2,P8,SORT2,P8__SORT2__path_1,SORT1__P8__path_1,P8__SORT2__path_1,
T07,AMR4,AMR4,29.0,29.0,37.0,37.0,0,,,0.0,scheduled,rolling_horizon_interface_stub,3,P7,OUT1,P7__OUT1__path_1,SORT2__P7__path_1,P7__OUT1__path_1,
T12,AMR4,AMR4,,,,,0,,,0.0,missing_path,rolling_horizon_interface_stub,4,P8,OUT1,P8__OUT1__path_1,,P8__OUT1__path_1,transition path missing
T13,,AMR4,,37.0,,39.0,1,E03,new_task_insert_stub,0.0,new_task_inserted_stub,rolling_horizon_interface_stub,5,P4,SORT2,,,,new dynamic task inserted with placeholder logic
