amr_id,task_id,sequence_order,pickup,delivery,start_time,finish_time,path_id,path_uid,transition_path_uid,loaded_path_uid,transition_start_time,transition_finish_time,arrival_pickup_time,waiting_time,service_time,loaded_start_time,loaded_travel_time,latest_finish,delay,is_delayed,schedule_status,scheduling_method,notes
AMR1,T01,1,P1,SORT1,4.0,13.0,path_1,P1__SORT1__path_1,IN1__P1__path_1,P1__SORT1__path_1,0.0,4.0,4.0,0.0,2.0,6.0,7.0,25.0,0.0,0,scheduled,baseline_interface_stub,
AMR1,T06,2,P2,SORT1,22.0,33.0,path_1,P2__SORT1__path_1,SORT1__P2__path_1,P2__SORT1__path_1,13.0,22.0,22.0,0.0,2.0,24.0,9.0,36.0,0.0,0,scheduled,baseline_interface_stub,
AMR2,T02,1,P3,SORT2,4.0,13.0,path_1,P3__SORT2__path_1,IN2__P3__path_1,P3__SORT2__path_1,0.0,4.0,4.0,0.0,2.0,6.0,7.0,28.0,0.0,0,scheduled,baseline_interface_stub,
AMR2,T08,2,P9,SORT2,16.0,21.0,path_1,P9__SORT2__path_1,SORT2__P9__path_1,P9__SORT2__path_1,13.0,16.0,16.0,0.0,2.0,18.0,3.0,45.0,0.0,0,scheduled,baseline_interface_stub,
AMR2,T10,3,P5,OUT1,28.0,40.0,path_1,P5__OUT1__path_1,SORT2__P5__path_1,P5__OUT1__path_1,21.0,28.0,28.0,0.0,3.0,31.0,9.0,50.0,0.0,0,scheduled,baseline_interface_stub,
AMR3,T05,1,P6,OUT2,10.0,19.0,path_1,P6__OUT2__path_1,CHG1__P6__path_1,P6__OUT2__path_1,0.0,10.0,10.0,0.0,2.0,12.0,7.0,38.0,0.0,0,scheduled,baseline_interface_stub,
AMR3,T09,2,P4,SORT1,,,path_1,P4__SORT1__path_1,,P4__SORT1__path_1,,,,,2.0,,5.0,48.0,,0,missing_path,baseline_interface_stub,transition path missing
AMR3,T11,3,P3,OUT2,28.0,39.0,path_1,P3__OUT2__path_1,SORT1__P3__path_1,P3__OUT2__path_1,19.0,28.0,28.0,0.0,2.0,30.0,9.0,52.0,0.0,0,scheduled,baseline_interface_stub,
AMR4,T03,1,P5,SORT1,6.0,16.0,path_1,P5__SORT1__path_1,CHG2__P5__path_1,P5__SORT1__path_1,0.0,6.0,6.0,0.0,3.0,9.0,7.0,32.0,0.0,0,scheduled,baseline_interface_stub,
AMR4,T04,2,P8,SORT2,19.0,24.0,path_1,P8__SORT2__path_1,SORT1__P8__path_1,P8__SORT2__path_1,16.0,19.0,19.0,0.0,2.0,21.0,3.0,35.0,0.0,0,scheduled,baseline_interface_stub,
AMR4,T07,3,P7,OUT1,29.0,37.0,path_1,P7__OUT1__path_1,SORT2__P7__path_1,P7__OUT1__path_1,24.0,29.0,29.0,0.0,3.0,32.0,5.0,42.0,0.0,0,scheduled,baseline_interface_stub,
AMR4,T12,4,P8,OUT1,,,path_1,P8__OUT1__path_1,,P8__OUT1__path_1,,,,,2.0,,5.0,55.0,,0,missing_path,baseline_interface_stub,transition path missing
