edge_id,from_node,to_node,length,travel_time,capacity,risk,edge_type,directed,lockable
e01,IN1,J1,2,2,2,1,normal,0,0
e02,IN2,J3,2,2,2,1,normal,0,0
e03,J1,J2,2,2,2,1,normal,0,0
e04,J2,J3,2,2,2,1,normal,0,0
e05,J1,P1,2,2,2,1,normal,0,0
e06,J2,P2,2,2,1,2,narrow,0,0
e07,J3,P3,2,2,2,1,normal,0,0
e08,P1,P2,2,2,2,1,normal,0,0
e09,P2,P3,2,2,2,1,normal,0,0
e10,P1,P4,2,2,1,2,narrow,0,0
e11,P2,P5,2,2,1,2,narrow,0,0
e12,P3,P6,2,2,1,2,narrow,0,0
e13,P4,P5,2,2,1,2,narrow,0,0
e14,P5,P6,2,2,1,2,narrow,0,0
e15,P4,P7,2,2,2,1,normal,0,0
e16,P5,P8,2,2,1,4,dynamic,0,1
e17,P6,P9,2,2,2,1,normal,0,0
e18,P7,P8,2,2,2,1,normal,0,0
e19,P8,P9,2,2,2,1,normal,0,0
e20,P7,SORT1,2.2,3,2,1,normal,0,0
e21,P8,SORT1,2.2,3,2,1,normal,0,0
e22,P8,SORT2,2.2,3,2,1,normal,0,0
e23,P9,SORT2,2.2,3,2,1,normal,0,0
e24,SORT1,OUT1,2,2,1,1,oneway,1,0
e25,SORT2,OUT2,2,2,1,1,oneway,1,0
e26,CHG1,J1,1.4,2,1,1,normal,0,0
e27,CHG2,P7,1.4,2,1,1,normal,0,0
