node_id,x,y,node_type,zone
IN1,0,1,inbound,receiving
IN2,0,5,inbound,receiving
J1,2,1,junction,main_aisle
J2,2,3,junction,main_aisle
J3,2,5,junction,main_aisle
P1,4,1,shelf,shelf_a
P2,4,3,shelf,shelf_a
P3,4,5,shelf,shelf_a
P4,6,1,shelf,shelf_b
P5,6,3,shelf,shelf_b
P6,6,5,shelf,shelf_b
P7,8,1,shelf,shelf_c
P8,8,3,shelf,shelf_c
P9,8,5,shelf,shelf_c
SORT1,10,2,sorting,sorting
SORT2,10,4,sorting,sorting
OUT1,12,2,outbound,shipping
OUT2,12,4,outbound,shipping
CHG1,1,0,charger,charging
CHG2,9,0,charger,charging
