from_node,CHG1,CHG2,IN1,IN2,OUT1,OUT2,P1,P2,P3,P4,P5,P6,P7,P8,P9,SORT1,SORT2
CHG1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0
CHG2,1.0,,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0
IN1,1.0,1.0,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0
IN2,1.0,3.0,1.0,,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
OUT1,2.0,1.0,2.0,2.0,,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0
OUT2,1.0,2.0,2.0,2.0,1.0,,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
P1,1.0,1.0,1.0,2.0,2.0,2.0,,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0
P2,1.0,1.0,2.0,2.0,2.0,2.0,1.0,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0
P3,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0
P4,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,2.0
P5,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,1.0,2.0,1.0
P6,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0
P7,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0
P8,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,,2.0,1.0,1.0
P9,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,1.0
SORT1,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0
SORT2,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,
