instance,method,p1_algorithm,task_count,amr_count,solve_time,missing_transition_count,missing_loaded_path_count,energy_violation_count,priority_late_count,late_count,priority_delay,total_delay,Cmax,empty_cost,loaded_cost,empty_distance,loaded_distance,total_energy_used,total_waiting,load_balance_penalty,F2,F3,solver_info
base,m0,mixed,12,4,0.003,0,0,0,0.0,0.0,0.0,0.0,50.624,77.547,81.119,68.047,69.619,156.9898,0.0,12.610049,253.12,438.184294,
base,m1,mixed,12,4,5.484,0,0,0,3.0,2.0,8.924636,8.236152,52.688485,65.963,81.119,57.963,69.619,146.9058,9.440545,16.058707,695.904545,439.418871,{'solve_seconds': 5.433}
base,m2,mixed,12,4,117.012,0,0,0,0.0,0.0,0.0,0.0,40.840111,58.646,81.119,52.146,69.619,141.0888,1.954273,2.243141,204.200556,280.812214,"{'level_values': {'missing': 0, 'f1_priority_late': 0.0, 'f1_late': 0.0, 'f2': 204.200555, 'f3': 258.3808}, 'level_status': {'missing': 'skipped_at_lower_bound', 'f1_priority_late': 'skipped_at_lower_bound', 'f1_late': 'skipped_at_lower_bound', 'f2': 'Solution Found', 'f3': 'Solution Found'}, 'level_order': ['missing', 'f1_priority_late', 'f1_late', 'f2', 'f3'], 'solution_source': 'milp', 'solve_seconds': 117.011}"
base,m3,mixed,12,4,0.124,0,0,0,0.0,0.0,0.0,0.0,40.840111,58.646,81.119,52.146,69.619,141.0888,1.954273,2.243141,204.200556,280.812214,"{'solve_seconds': 0.124, 'local_search_iterations': 3}"
base,m3@basic_astar,basic_astar,12,4,0.096,0,0,0,0.0,0.0,0.0,0.0,44.327374,58.236,75.15,58.236,75.15,153.816,3.478822,3.048485,221.636869,300.772848,"{'solve_seconds': 0.096, 'local_search_iterations': 2}"
base,m3@vg,vg,12,4,0.115,0,0,0,0.0,0.0,0.0,0.0,40.840111,52.146,69.619,52.146,69.619,141.0888,1.954273,2.243141,204.200556,267.812214,"{'solve_seconds': 0.115, 'local_search_iterations': 3}"
base,m3@avg,avg,12,4,0.131,0,0,0,0.0,0.0,0.0,0.0,40.840111,57.85,77.169,52.146,69.619,141.0888,1.954273,2.243141,204.200556,279.220214,"{'solve_seconds': 0.131, 'local_search_iterations': 3}"
base,m3@davg,davg,12,4,0.116,0,0,0,0.0,0.0,0.0,0.0,40.840111,57.85,77.169,52.146,69.619,141.0888,1.954273,2.243141,204.200556,279.220214,"{'solve_seconds': 0.116, 'local_search_iterations': 3}"
base,m3@mixed,mixed,12,4,0.122,0,0,0,0.0,0.0,0.0,0.0,40.840111,58.646,81.119,52.146,69.619,141.0888,1.954273,2.243141,204.200556,280.812214,"{'solve_seconds': 0.122, 'local_search_iterations': 3}"
base,m3_no_local_search,mixed,12,4,0.042,0,0,0,0.0,0.0,0.0,0.0,47.684321,60.305,81.119,53.805,69.619,142.7478,1.954273,13.697543,238.421605,400.333232,"{'solve_seconds': 0.042, 'local_search_iterations': 0}"
base,m3_cheapest_insertion,mixed,12,4,0.221,0,0,0,0.0,0.0,0.0,0.0,42.559012,57.317,81.119,50.817,69.619,139.7598,12.326545,1.327699,212.795062,267.670792,"{'solve_seconds': 0.221, 'local_search_iterations': 8}"
